,Player,Rk,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year,Tgt,Rec,Ctch%,Y/R,Y/Tgt,R/G
0,AJ Dillon,46.67,GNB,24,RB,45,5,419.0,1815,14,110,31.0,4.57,38.17,3,2022,82.0,64.0,85.67,9.03,7.93,1.27
1,Aaron Brown,169.0,DET,26,RB,22,2,45.0,189,0,9,9.33,2.77,6.13,0,2011,29.0,18.0,73.83,7.97,6.03,0.97
2,Aaron Jones,29.5,GNB,26,RB,54,42,651.0,3364,37,171,61.5,5.28,61.17,6,2020,184.0,131.0,67.75,6.9,4.92,2.38
3,Adimchinobe Echemandu,142.0,2TM,27,RB,13,0,28.0,110,0,2,13.0,3.7,7.85,2,2007,6.0,5.0,87.5,6.9,5.9,0.5
4,Adrian Peterson,75.36,MIN,25,RB,151,60,1499.0,7024,58,357,37.18,4.72,42.69,25,2010,270.0,191.0,76.45,8.53,6.56,1.14
5,Ahmad Bradshaw,54.75,NYG,24,RB,58,12,529.0,2558,17,120,62.75,5.72,42.15,15,2010,99.0,75.0,68.58,7.75,5.43,1.2
6,Alex Collins,54.67,BAL,24,RB,36,22,357.0,1509,14,83,31.67,4.07,39.13,9,2018,68.0,49.0,78.43,7.57,5.93,1.33
7,Alex Green,135.0,NYJ,25,RB,29,4,149.0,510,0,19,19.33,3.43,14.73,1,2013,33.0,21.0,86.67,5.63,4.73,0.67
8,Alexander Mattison,50.75,MIN,24,RB,59,6,404.0,1670,11,92,30.75,4.15,29.05,2,2022,84.0,70.0,83.85,7.75,6.5,1.18
9,Alfred Blue,37.75,HOU,26,RB,57,14,523.0,1908,6,96,40.0,3.7,32.6,4,2017,59.0,49.0,82.47,6.45,5.4,0.82
10,Alfred Morris,8.0,WAS,27,RB,64,64,1078.0,4713,29,235,40.5,4.3,73.62,11,2015,67.0,47.0,71.53,7.57,5.38,0.75
11,Allen Bradford,188.0,TAM,23,RB,1,0,5.0,13,0,0,4.0,2.6,13.0,0,2011,,,,,,
12,Alvin Kamara,23.75,NOR,25,RB,60,35,672.0,3340,43,196,53.0,5.1,55.85,7,2020,409.0,326.0,79.8,8.68,6.92,5.45
13,Alvin Pearman,100.5,JAX,24,RB,29,0,58.0,238,2,12,28.5,4.25,8.05,6,2006,41.0,36.0,88.9,9.38,8.68,0.88
14,Ameer Abdullah,117.5,2TM,25,RB,42,22,327.0,1251,6,63,23.75,3.52,31.82,8,2018,82.0,58.0,78.05,8.62,6.95,1.55
15,Andre Brown,144.5,NYG,26,RB,14,2,75.0,384,8,26,15.5,2.4,19.1,0,2012,17.0,12.0,70.6,7.2,5.1,1.2
16,Andre Ellington,61.5,ARI,27,RB,53,15,398.0,1697,9,73,44.5,4.5,33.35,4,2016,164.0,112.0,66.5,8.78,5.85,2.17
17,Andre Williams,91.75,LAC,25,RB,41,7,332.0,1090,8,50,26.5,3.45,37.83,1,2017,42.0,19.0,27.3,4.73,1.93,0.4
18,Anthony Allen,180.0,BAL,24,RB,21,0,19.0,69,1,4,11.5,3.25,2.7,0,2012,4.0,2.0,50.0,6.0,3.0,0.1
19,Anthony Dixon,100.75,SFO,26,RB,64,1,148.0,458,8,26,15.25,3.02,7.15,0,2013,9.0,9.0,100.0,6.07,6.07,0.2
20,Anthony McFarland Jr.,192.67,PIT,23,RB,14,0,42.0,146,0,7,12.33,3.13,13.93,0,2022,12.0,9.0,88.9,8.5,7.5,1.0
21,Anthony Sherman,274.33,KAN,26,RB,47,21,5.0,14,0,3,3.0,2.83,0.3,1,2014,55.0,41.0,74.45,8.12,6.12,0.65
22,Anthony Thomas,23.0,CHI,27,RB,51,37,858.0,3332,21,156,47.0,3.8,64.28,7,2004,108.0,72.0,67.5,6.67,4.55,1.43
23,Antonio Gibson,19.33,WAS,24,RB,45,30,577.0,2378,21,137,29.0,4.13,52.67,8,2022,154.0,124.0,80.63,7.2,5.8,2.77
24,Artose Pinner,67.25,MIN,28,RB,40,7,245.0,812,8,49,16.5,3.33,22.48,1,2006,47.0,39.0,76.35,7.65,5.8,1.1
25,Baron Batch,119.0,PIT,25,RB,12,0,25.0,49,1,4,10.0,2.0,4.1,0,2012,5.0,4.0,80.0,7.8,6.2,0.3
26,Beanie Wells,34.0,ARI,24,RB,51,23,625.0,2471,24,116,39.75,3.73,46.05,10,2012,41.0,28.0,75.0,13.97,11.38,0.5
27,Ben Tate,37.0,HOU,25,RB,40,9,421.0,1992,10,108,47.0,4.67,47.77,10,2013,79.0,58.0,79.27,5.37,4.2,1.43
28,Benny Snell Jr.,85.0,PIT,24,RB,63,5,275.0,982,7,54,19.5,3.6,16.72,3,2022,24.0,17.0,74.1,7.2,5.5,0.25
29,Bernard Pierce,79.0,JAX,24,RB,52,3,359.0,1345,5,68,34.5,3.38,22.6,1,2015,47.0,32.0,59.23,5.17,3.02,0.57
30,Bernard Scott,85.5,CIN,28,RB,47,3,255.0,1035,4,54,33.25,4.25,21.18,2,2012,38.0,29.0,74.53,7.27,5.07,0.63
31,Bilal Powell,82.25,NYJ,26,RB,47,14,332.0,1296,6,68,19.5,3.48,23.68,2,2014,109.0,65.0,70.92,7.8,5.45,1.18
32,Bishop Sankey,59.5,TEN,23,RB,29,12,199.0,762,3,31,19.0,3.9,25.2,4,2015,45.0,32.0,70.95,8.65,6.05,1.1
33,Bo Scarbrough,129.5,SEA,26,RB,7,5,95.0,408,1,16,21.0,4.7,46.9,1,2020,4.0,1.0,25.0,5.0,1.3,0.2
34,Boston Scott,64.0,PHI,26,RB,43,10,228.0,992,13,58,34.67,4.33,23.0,7,2021,78.0,62.0,81.0,7.8,6.3,1.53
35,Brandon Jackson,62.0,GNB,25,RB,52,16,347.0,1329,7,59,39.5,3.95,24.15,3,2010,137.0,110.0,79.1,7.8,6.15,2.08
36,Brandon Jacobs,43.5,NYG,26,RB,55,22,555.0,2620,35,161,31.0,4.25,52.48,11,2008,64.0,40.0,63.03,9.03,6.07,1.1
37,Brian Calhoun,166.0,DET,23,RB,11,0,14.0,54,0,2,12.0,3.85,5.75,1,2007,7.0,7.0,100.0,8.5,8.5,0.8
38,Brian Hill,95.5,ATL,25,RB,45,3,209.0,982,3,42,40.0,5.03,19.25,3,2020,48.0,38.0,76.17,10.47,8.5,0.7
39,Brian Leonard,140.75,CIN,26,RB,43,8,124.0,455,0,25,22.25,4.22,8.47,1,2010,100.0,80.0,79.83,6.73,5.4,1.93
40,Brian Westbrook,43.0,PHI,26,RB,55,35,496.0,2235,13,111,40.25,4.5,41.92,6,2005,244.0,180.0,73.42,9.57,7.0,3.45
41,Brock Forsey,98.0,MIA,24,RB,16,2,69.0,244,2,14,16.0,3.3,14.4,1,2004,5.0,3.0,60.0,12.3,7.4,0.3
42,Bruce Perry,136.0,PHI,24,RB,2,1,16.0,74,0,3,11.0,4.6,37.0,0,2005,2.0,0.0,0.0,0.0,0.0,0.0
43,Bryce Brown,79.5,SEA,24,RB,42,7,251.0,1076,7,61,40.5,3.88,24.23,5,2015,59.0,37.0,48.48,6.45,4.1,0.9
44,C.J. Prosise,174.0,SEA,25,RB,25,2,65.0,264,2,9,23.5,1.98,10.18,1,2019,45.0,36.0,81.83,10.4,8.1,1.42
45,C.J. Spiller,38.0,BUF,26,RB,61,31,590.0,3021,12,117,49.25,4.9,48.83,14,2013,182.0,139.0,77.03,7.42,5.7,2.25
46,Cadillac Williams,43.75,TAM,26,RB,38,33,632.0,2417,14,121,39.25,3.8,57.98,9,2008,81.0,60.0,77.05,5.6,4.3,1.38
47,Cam Akers,88.67,LAR,23,RB,29,14,338.0,1414,9,71,35.0,3.03,34.5,3,2022,35.0,27.0,83.6,7.83,6.2,1.57
48,Cameron Artis-Payne,110.0,CAR,28,RB,32,3,118.0,491,5,24,25.75,4.25,22.27,0,2018,11.0,10.0,93.75,7.4,7.1,0.35
49,Carlos Hyde,31.0,SFO,27,RB,50,36,655.0,2729,21,139,39.5,4.15,56.38,9,2017,152.0,109.0,74.28,5.6,4.17,2.08
50,Cedric Benson,34.5,CIN,26,RB,47,22,634.0,2340,12,117,38.75,3.77,49.23,6,2008,64.0,46.0,79.97,6.58,5.03,0.95
51,Cedric Cobbs,160.5,DEN,25,RB,5,0,25.0,59,0,3,9.0,2.65,10.6,1,2006,,,,,,
52,Cedric Houston,49.5,NYJ,24,RB,20,5,194.0,676,7,36,24.0,3.5,36.0,1,2006,18.0,15.0,83.75,7.2,6.0,0.8
53,Cedric Peerman,195.33,CIN,26,RB,36,1,41.0,274,1,10,20.0,4.23,6.5,0,2012,13.0,10.0,44.43,6.8,4.37,0.23
54,Chad Morton,123.0,WAS,26,RB,47,5,88.0,360,0,16,16.33,3.43,7.8,4,2003,68.0,48.0,66.27,8.63,5.6,1.03
55,Charles Sims,78.75,TAM,27,RB,47,2,245.0,958,2,43,30.75,3.77,20.85,6,2017,176.0,129.0,73.2,9.0,6.55,2.8
56,Chase Edmonds,59.5,ARI,25,RB,57,15,333.0,1551,9,82,38.0,4.57,28.4,4,2021,164.0,128.0,76.07,7.2,5.35,2.27
57,Chauncey Washington,262.5,DAL,26,RB,8,0,5.0,8,0,1,2.5,0.65,0.5,0,2011,4.0,3.0,83.35,7.75,6.65,0.6
58,Chester Taylor,55.5,BAL,26,RB,62,8,373.0,1599,4,81,37.0,4.2,25.62,8,2005,140.0,105.0,73.5,7.25,5.28,1.7
59,Chris Brown,45.0,TEN,25,RB,42,28,541.0,2295,11,94,34.75,4.1,51.25,12,2006,88.0,55.0,59.83,7.53,5.12,1.15
60,Chris Carson,31.75,SEA,26,RB,45,44,715.0,3270,21,192,44.75,4.53,68.25,11,2020,125.0,101.0,82.47,7.9,6.53,2.2
61,Chris Henry,186.0,TEN,23,RB,8,0,32.0,122,2,5,13.5,3.4,10.0,0,2008,330.0,171.0,58.53,13.72,7.73,1.86
62,Chris Johnson,7.0,TEN,26,RB,63,62,1187.0,5645,38,238,70.25,4.7,89.5,10,2011,269.0,194.0,72.3,7.25,5.22,3.1
63,Chris Ogbonnaya,130.33,CLE,26,RB,30,5,95.0,420,1,3,22.33,4.27,17.73,3,2012,65.0,48.0,66.4,11.33,6.87,1.3
64,Chris Perry,157.67,CIN,25,RB,22,3,73.0,337,0,20,16.33,3.6,9.97,4,2006,76.0,63.0,88.03,7.37,6.7,2.2
65,Chris Rainey,117.0,PIT,24,RB,16,0,26.0,102,2,5,19.0,3.9,6.4,4,2012,23.0,14.0,31.8,2.15,1.35,0.45
66,Chris Thompson,135.67,WAS,26,RB,31,0,106.0,584,3,24,24.67,5.13,14.97,4,2016,117.0,90.0,79.2,6.17,4.83,2.93
67,Christian McCaffrey,34.0,CAR,24,RB,51,45,682.0,3145,29,146,49.5,4.33,64.38,7,2020,398.0,320.0,82.08,8.43,6.92,6.17
68,Christine Michael,84.25,2TM,26,RB,37,9,254.0,1080,7,16,36.25,4.47,26.65,3,2016,37.0,26.0,58.63,7.4,4.13,0.67
69,Ciatrick Fason,110.0,MIN,24,RB,18,0,50.0,161,5,18,15.0,3.7,12.3,1,2006,5.0,3.0,60.0,6.3,3.8,0.6
70,Clinton Portis,9.25,WAS,24,RB,60,56,1258.0,5930,45,304,58.75,4.78,99.8,16,2005,198.0,141.0,71.3,8.1,5.75,2.4
71,Clyde Edwards-Helaire,43.0,KAN,23,RB,33,29,371.0,1622,11,79,33.33,4.33,47.9,2,2022,100.0,72.0,74.4,8.0,5.9,2.13
72,Correll Buckhalter,37.5,PHI,25,RB,30,11,255.0,1128,10,61,56.0,4.4,37.6,5,2003,35.0,23.0,66.65,11.65,7.85,0.8
73,Curtis Keaton,162.67,NOR,26,RB,25,0,23.0,91,0,4,11.0,5.07,3.63,1,2002,1.0,1.0,100.0,9.0,9.0,0.1
74,Cyrus Gray,168.67,KAN,25,RB,35,0,24.0,99,1,5,10.0,4.3,3.1,0,2014,13.0,9.0,68.35,7.8,5.3,0.3
75,D'Andre Swift,40.33,DET,23,RB,40,16,364.0,1680,18,80,53.67,4.73,42.1,6,2022,205.0,156.0,76.27,7.73,5.9,3.9
76,D'Onta Foreman,123.0,TEN,24,RB,17,1,107.0,421,2,19,18.67,2.8,15.83,3,2020,11.0,9.0,91.67,10.93,9.8,0.93
77,Da'Rel Scott,168.33,NYG,25,RB,20,1,31.0,98,0,5,9.67,2.8,6.13,1,2013,21.0,13.0,78.95,7.9,5.95,1.2
78,Dalvin Cook,26.5,MIN,25,RB,43,42,769.0,3661,33,189,62.0,4.72,84.17,12,2020,182.0,148.0,79.0,8.45,6.67,3.33
79,Damien Harris,76.5,NWE,25,RB,38,34,449.0,2094,20,109,37.0,4.25,44.75,3,2022,51.0,40.0,77.0,7.8,5.97,1.07
80,Damien Nash,155.0,DEN,24,RB,6,0,24.0,98,0,4,17.0,4.5,16.35,0,2006,10.0,7.0,78.55,7.5,5.3,1.15
81,Dan Herron,142.0,2TM,26,RB,35,3,112.0,468,1,19,21.25,3.9,9.25,3,2015,38.0,31.0,67.7,17.6,17.1,0.6
82,Daniel Lasco,152.0,NOR,24,RB,7,0,11.0,32,0,1,6.0,2.9,4.6,0,2016,4.0,2.0,50.0,5.5,2.8,0.3
83,Daniel Thomas,51.75,MIA,27,RB,52,3,409.0,1480,10,65,29.5,3.65,28.23,6,2014,74.0,55.0,74.95,7.47,5.42,1.07
84,Darius Jackson,191.0,2TM,25,RB,4,0,6.0,16,0,0,4.0,2.7,4.0,0,2018,1.0,0.0,0.0,0.0,0.0,0.0
85,Darrell Henderson,55.25,LAR,25,RB,50,28,396.0,1742,13,103,28.5,4.22,34.62,0,2022,92.0,66.0,70.8,7.83,5.45,1.38
86,Darren McFadden,38.5,OAK,24,RB,45,32,553.0,2627,16,108,51.25,4.6,61.23,13,2011,159.0,116.0,73.08,10.1,7.28,2.58
87,Darren Sproles,108.33,SDG,25,RB,46,0,106.0,544,3,23,30.67,5.37,11.6,7,2008,50.0,42.0,81.2,6.07,5.07,0.9
88,Darrynton Evans,193.0,CHI,24,RB,12,0,30.0,125,0,5,11.67,4.0,9.5,0,2022,7.0,5.0,83.33,17.33,15.1,0.87
89,Darwin Thompson,109.5,KAN,23,RB,26,1,64.0,225,2,16,13.0,3.55,8.8,0,2020,21.0,16.0,76.8,7.05,5.1,0.65
90,Daryl Richardson,55.0,STL,23,RB,24,3,167.0,690,0,34,33.5,3.95,28.3,3,2013,54.0,38.0,72.25,7.7,5.6,1.65
91,David Cobb,80.0,TEN,22,RB,7,1,52.0,146,1,6,12.0,2.8,20.9,0,2015,2.0,1.0,50.0,-2.0,-1.0,0.1
92,David Johnson,87.6,ARI,27,RB,65,42,689.0,2787,31,162,33.2,3.3,39.16,15,2018,299.0,198.0,64.27,9.2,6.04,2.01
93,David Montgomery,12.25,CHI,25,RB,60,51,915.0,3609,26,205,51.0,3.95,60.58,6,2022,194.0,155.0,79.55,8.0,6.38,2.62
94,David Williams,176.0,JAX,24,RB,6,0,8.0,36,0,3,15.0,4.5,6.0,0,2018,,,,,,
95,David Wilson,77.0,NYG,22,RB,21,6,115.0,504,5,27,35.0,4.15,25.8,3,2013,15.0,6.0,38.85,6.25,2.55,0.35
96,De'Angelo Henderson,215.0,NYJ,26,RB,8,0,9.0,32,0,2,9.0,5.7,4.45,1,2018,2.0,2.0,100.0,18.0,18.0,0.4
97,De'Anthony Thomas,212.0,KAN,24,RB,50,6,28.0,180,2,7,16.5,5.8,3.88,3,2017,81.0,61.0,76.88,7.55,5.85,1.27
98,DeAndre Washington,73.0,OAK,26,RB,55,5,282.0,1122,7,60,22.5,3.88,19.82,4,2019,110.0,88.0,84.33,7.42,6.38,1.48
99,DeAngelo Williams,28.0,CAR,26,RB,58,31,754.0,3850,30,177,63.0,4.95,65.97,5,2009,145.0,107.0,74.05,7.82,5.85,1.88
100,DeMarco Murray,18.0,DAL,26,RB,53,47,934.0,4526,28,235,58.25,4.88,82.67,12,2014,207.0,171.0,81.75,7.03,5.75,3.23
101,DeShaun Foster,43.67,CAR,25,RB,33,10,377.0,1563,4,74,54.0,4.13,51.0,5,2005,93.0,69.0,78.37,9.1,7.1,2.17
102,DeShawn Wynn,144.33,GNB,26,RB,16,4,64.0,332,5,12,41.0,7.03,18.6,1,2009,24.0,14.0,64.3,9.2,5.97,0.8
103,Dee Brown,46.0,CAR,24,RB,14,3,102.0,360,4,20,24.0,3.5,25.7,4,2002,33.0,17.0,51.5,5.1,2.6,1.2
104,DeeJay Dallas,109.67,SEA,24,RB,44,2,102.0,432,4,28,18.33,4.23,9.83,2,2022,62.0,55.0,88.6,6.73,6.0,1.23
105,Deji Karim,101.33,HOU,27,RB,30,0,110.0,341,0,21,14.33,3.67,10.87,5,2013,28.0,18.0,55.53,3.63,2.4,0.53
106,Delone Carter,78.5,IND,25,RB,26,3,133.0,499,5,29,31.0,3.75,17.9,4,2012,10.0,6.0,56.25,8.3,4.4,0.2
107,Derrick Blaylock,92.67,KAN,25,RB,40,5,156.0,723,10,44,21.67,4.73,19.3,1,2004,68.0,45.0,62.53,10.43,6.57,1.13
108,Derrick Henry,25.33,TEN,24,RB,47,16,501.0,2293,22,119,65.33,4.53,48.47,2,2018,50.0,39.0,78.23,9.83,7.53,0.83
109,Derrick Ward,66.0,NYG,27,RB,22,5,160.0,725,3,35,28.0,4.15,42.05,2,2007,45.0,28.0,52.5,6.7,3.55,1.7
110,Derrius Guice,89.0,WAS,22,RB,5,1,42.0,245,2,9,60.0,5.8,49.0,0,2019,9.0,7.0,77.8,11.3,8.8,1.4
111,Deuce McAllister,36.0,NOR,26,RB,61,49,961.0,4194,31,195,65.75,4.67,69.38,16,2004,229.0,165.0,72.15,8.2,5.95,2.67
112,Devante Mays,211.0,GNB,23,RB,8,0,4.0,1,0,0,2.0,0.3,0.1,2,2017,3.0,3.0,100.0,0.0,0.0,0.4
113,Devin Singletary,25.75,BUF,25,RB,61,56,672.0,3151,16,175,42.0,4.67,52.48,13,2022,193.0,145.0,74.95,6.72,5.03,2.4
114,Devonta Freeman,26.25,ATL,25,RB,61,43,753.0,3248,30,202,47.25,4.25,53.78,9,2017,246.0,193.0,79.02,8.2,6.47,3.2
115,Devontae Booker,108.5,DEN,27,RB,61,6,289.0,1103,6,55,18.75,4.3,18.32,7,2019,143.0,105.0,72.25,8.6,6.2,1.75
116,Dexter Williams,246.0,GNB,23,RB,7,0,7.0,19,0,0,5.0,3.1,2.75,0,2020,,,,,,
117,Dion Lewis,133.5,PHI,22,RB,24,0,36.0,171,2,11,18.5,4.85,7.25,1,2012,3.0,3.0,100.0,4.5,4.5,0.15
118,Domanick Williams,15.67,HOU,25,RB,40,36,770.0,3195,23,144,46.33,4.13,80.5,10,2005,200.0,154.0,77.13,8.23,6.4,3.8
119,Donald Brown,42.5,IND,25,RB,50,15,449.0,1840,11,91,48.25,4.05,36.42,1,2012,74.0,56.0,75.85,10.35,7.78,1.1
120,Doug Chapman,110.67,MIN,26,RB,26,3,90.0,317,0,15,17.33,4.23,11.77,2,2003,21.0,17.0,61.4,5.47,5.03,0.43
121,Doug Martin,20.5,TAM,26,RB,49,49,868.0,3806,20,174,61.25,4.2,74.85,8,2015,158.0,107.0,65.0,7.05,4.72,2.1
122,Duke Johnson,64.5,CLE,25,RB,64,10,299.0,1286,5,73,25.75,4.42,20.12,8,2018,303.0,235.0,77.35,9.25,7.12,3.65
123,Dwayne Washington,116.25,NOR,25,RB,46,2,145.0,523,1,21,23.25,4.58,11.62,0,2019,18.0,13.0,88.9,6.4,5.7,0.43
124,Dwayne Wright,103.0,BUF,24,RB,15,0,29.0,94,0,6,15.0,3.2,6.3,1,2007,3.0,3.0,100.0,5.7,5.7,0.2
