,Player,Rk,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year,Tgt,Rec,Ctch%,Y/R,Y/Tgt,R/G
199,Kendall Hunter,53.33,SFO,25,RB,43,1,262.0,1202,7,60,38.33,4.67,28.57,2,2013,42.0,27.0,62.17,8.47,5.27,0.63
200,Kenjon Barner,134.67,PHI,27,RB,31,0,61.0,260,2,15,13.33,3.47,7.73,2,2016,26.0,16.0,62.4,4.77,2.63,0.53
201,Kenneth Darby,133.0,STL,28,RB,41,1,95.0,408,2,22,21.25,4.4,10.03,1,2010,61.0,49.0,77.28,7.25,5.67,1.43
202,Kenneth Dixon,59.5,BAL,24,RB,18,0,148.0,715,4,50,28.5,4.95,43.65,3,2018,48.0,36.0,79.45,6.95,5.65,1.75
203,Kenyan Drake,51.0,2TM,25,RB,62,24,456.0,2175,17,106,61.25,4.88,35.83,7,2019,199.0,144.0,75.7,7.12,5.3,2.38
204,Kerrith Whyte Jr,115.0,PIT,23,RB,6,0,24.0,122,0,5,21.0,5.1,20.3,0,2019,1.0,1.0,100.0,9.0,9.0,0.2
205,Kerryon Johnson,57.0,DET,23,RB,34,16,283.0,1225,8,63,35.0,4.17,41.93,3,2020,80.0,61.0,73.97,9.73,7.07,1.9
206,Kerwynn Williams,111.67,ARI,25,RB,21,0,98.0,545,3,25,34.33,6.2,29.53,2,2016,10.0,5.0,61.1,6.5,4.27,0.27
207,Kevan Barlow,29.25,SFO,25,RB,60,18,715.0,3033,21,152,49.5,4.33,50.27,10,2004,138.0,106.0,75.65,8.95,6.75,1.75
208,Kevin Jones,27.5,DET,25,RB,53,49,761.0,3067,24,154,50.0,3.98,57.17,11,2007,191.0,141.0,72.65,6.65,4.88,2.75
209,Kevin Smith,49.5,DET,25,RB,42,29,561.0,2212,16,112,34.75,4.08,47.9,6,2011,155.0,113.0,72.88,9.18,6.67,2.62
210,Knile Davis,87.75,2TM,25,RB,57,2,250.0,805,11,41,21.0,2.8,12.9,7,2016,50.0,34.0,68.85,8.25,5.62,0.57
211,Knowshon Moreno,40.75,DEN,25,RB,44,30,604.0,2430,16,125,28.75,4.17,52.58,9,2012,130.0,97.0,74.88,8.72,6.53,2.2
212,Kolby Smith,90.67,KAN,25,RB,27,9,162.0,540,3,33,16.67,2.9,16.0,0,2009,43.0,34.0,88.07,5.47,4.7,1.1
213,Kyle Juszczyk,219.5,BAL,25,RB,32,18,7.0,25,1,3,6.0,2.95,0.8,0,2016,133.0,97.0,54.78,6.15,4.45,1.52
214,La'Mical Perine,133.5,NYJ,23,RB,14,0,72.0,263,2,19,17.0,3.75,15.5,0,2021,15.0,11.0,73.3,5.7,4.2,1.1
215,LaBrandon Toefield,96.25,JAX,26,RB,43,2,150.0,545,6,28,22.5,3.35,11.68,1,2006,57.0,45.0,70.93,6.2,4.47,1.07
216,LaDainian Tomlinson,5.5,SDG,25,RB,63,63,1363.0,5899,54,321,61.25,4.33,93.58,19,2004,378.0,291.0,77.8,7.0,5.45,4.6
217,LaMichael James,152.67,2TM,25,RB,17,0,44.0,193,0,12,17.33,3.77,13.4,3,2014,9.0,5.0,42.23,5.9,3.7,0.33
218,LaMont Jordan,64.75,NYJ,26,RB,62,0,262.0,1277,10,72,44.75,5.15,20.68,5,2004,62.0,50.0,80.58,8.1,6.55,0.8
219,LaRod Stephens-Howling,108.75,ARI,25,RB,57,10,182.0,651,5,25,31.5,3.62,11.72,1,2012,88.0,56.0,64.6,9.85,6.67,0.97
220,Ladell Betts,52.0,WAS,26,RB,48,2,321.0,1271,5,67,22.25,3.98,26.9,5,2005,82.0,52.0,63.65,9.72,6.32,1.12
221,Lamar Gordon,68.25,PHI,25,RB,40,15,225.0,772,3,49,17.75,3.23,20.4,9,2005,87.0,62.0,68.38,7.4,5.07,2.05
