,Player,Rk,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year
98,Fred Davis,160.25,WAS,25,TE,55,33,204,131,57.55,1648,12.03,12,82,39.25,7.22,2.38,30.1,1,2011
99,Garrett Graham,212.33,HOU,27,TE,35,20,130,78,58.97,832,14.83,8,43,32.0,8.27,1.93,20.93,2,2013
100,Gary Barnidge,372.67,CAR,25,TE,47,6,31,12,19.03,242,6.73,0,8,18.33,3.83,0.27,5.03,1,2010
101,Gavin Escobar,302.5,DAL,25,TE,62,7,48,30,61.95,333,10.53,8,21,21.75,6.55,0.53,5.38,1,2016
102,Geoff Swaim,344.75,DAL,25,TE,37,18,43,35,89.08,336,8.32,1,17,22.25,7.17,1.0,9.07,0,2018
103,George Kittle,51.75,SFO,27,TE,53,45,369,264,72.15,3579,13.3,14,169,58.5,9.55,5.12,68.72,1,2020
104,George Wrighster,205.5,JAX,25,TE,51,20,120,75,63.7,692,9.18,8,42,23.0,5.8,1.65,14.22,1,2006
105,Gerald Christian,429.0,BUF,25,TE,3,0,2,1,50.0,14,14.0,0,1,14.0,7.0,0.3,4.7,0,2016
106,Gerald Everett,141.25,LAR,26,TE,61,11,204,127,60.95,1389,11.55,8,70,45.5,6.88,2.12,23.2,2,2020
107,Greg Olsen,74.75,CHI,25,TE,62,39,326,194,59.8,1981,10.18,20,107,40.75,6.1,3.15,31.85,4,2010
108,Harrison Bryant,177.0,CLE,24,TE,48,21,108,76,70.67,710,9.57,7,40,35.33,6.77,1.57,14.87,2,2022
109,Hayden Hurst,162.0,ATL,28,TE,57,18,181,125,70.22,1304,10.7,12,70,42.0,7.4,2.12,22.02,3,2021
110,Heath Miller,85.5,PIT,26,TE,62,61,234,168,71.62,1932,11.53,21,105,47.0,8.25,2.7,31.35,1,2008
111,Hunter Henry,90.33,LAC,25,TE,41,35,191,136,70.97,1709,12.7,17,98,41.0,8.97,3.4,42.53,2,2019
112,Ian Thomas,193.5,CAR,25,TE,65,30,140,90,62.83,802,8.88,4,47,28.0,5.58,1.43,12.38,1,2021
113,Irv Smith Jr.,148.33,MIN,24,TE,37,15,126,91,71.93,858,9.37,9,48,27.33,6.73,2.57,23.43,2,2022
114,Isaac Nauta,448.0,DET,23,TE,13,0,5,3,58.35,16,4.75,0,1,6.5,2.9,0.2,1.3,0,2020
115,Jabari Holloway,284.5,HOU,25,TE,26,16,20,15,75.0,157,10.45,0,4,28.5,7.85,0.55,6.1,0,2003
116,Jace Amaro,236.5,TEN,24,TE,17,4,57,41,73.35,404,14.4,2,22,34.5,10.65,1.85,22.15,1,2016
117,Jace Sternberger,392.0,GNB,24,TE,18,1,16,12,40.0,114,4.75,1,6,13.5,3.8,0.5,4.75,0,2020
118,Jacob Tamme,238.75,IND,26,TE,60,14,139,92,55.83,855,8.6,5,49,21.5,4.6,1.48,13.43,0,2011
119,Jake Butt,362.5,DEN,25,TE,8,4,17,10,55.75,90,6.55,0,4,13.5,3.9,1.55,14.65,0,2020
120,Jake O'Connell,354.25,KAN,27,TE,35,8,29,15,63.33,108,6.8,0,7,12.0,4.7,0.5,3.17,0,2012
