,Player,Rk,Tm,Age,Pos,G,GS,Intcpt,IntYds,IntTD,Lng,PD,FF,Fmb,FR,FumYds,FumTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year
328,Quinton Bell,961.0,ATL,26,OLB,4,0,0,0,0,0.0,0,0,0,0,0,0,0.0,3,2,1,1,0,0,2022
329,Quinton Coples,471.0,2TM,25,DE,62,32,0,0,0,0.0,3,2,0,1,0,0,16.5,114,77,37,30,56,0,2015
330,Quinton Dial,506.75,SFO,26,RDE,46,32,0,0,0,0.0,4,0,0,0,0,0,4.5,126,78,48,8,11,0,2016
331,Raheem Brock,359.25,IND,27,LDE,61,54,0,0,0,0.0,10,6,0,7,23,0,16.0,162,118,44,29,0,0,2005
332,Ray Edwards,398.25,MIN,24,LDE,58,44,0,0,0,0.0,9,4,0,2,9,1,21.5,144,110,34,36,58,0,2009
333,Ray McDonald,654.25,SFO,26,DE,56,9,1,31,1,7.75,7,0,0,2,11,1,5.0,60,45,15,11,12,0,2010
334,Reggie Hayward,501.75,DEN,25,RDE,47,19,1,76,0,19.0,8,3,0,3,0,0,22.0,100,78,22,27,0,0,2004
335,Richard Seymour,363.5,NWE,25,RDE,59,55,1,6,0,1.5,15,2,0,3,68,1,21.5,197,117,80,31,0,0,2004
336,Ricky Sapp,1078.0,2TM,27,LB,10,0,0,0,0,0.0,0,0,0,1,0,0,0.0,3,1,2,0,0,0,2013
337,Rob Jackson,923.5,WAS,26,DE,26,0,0,0,0,0.0,1,1,0,0,0,0,1.0,15,13,2,5,4,0,2011
338,Rob Meier,487.5,JAX,26,DT,64,7,0,0,0,0.0,2,2,0,1,0,0,4.0,89,74,15,14,0,1,2003
339,Rob Ninkovich,873.0,NWE,25,DE,22,0,0,0,0,0.0,3,0,0,0,0,0,1.0,30,17,13,3,2,0,2009
340,Robaire Smith,605.0,TEN,26,LDT,49,17,0,0,0,0.0,4,1,0,2,43,0,11.5,82,55,27,16,0,0,2003
341,Robert Ayers,478.25,DEN,27,DE,57,24,0,0,0,0.0,6,2,0,3,54,1,6.5,113,79,34,19,27,0,2012
342,Robert Geathers,470.75,CIN,24,LDE,62,33,2,66,1,16.5,10,4,0,1,0,0,20.5,139,87,52,25,32,0,2007
