Player,Rk,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year
Marlon Mack,76.25,IND,24,RB,41,23,539,2383,20,149,41.25,4.85,51.3,3,2020
Marshawn Lynch,21.5,2TM,24,RB,57,48,852,3338,23,126,48.0,3.88,58.9,11,2010
Matt Forte,11.0,CHI,26,RB,60,60,1014,4233,21,190,56.25,4.22,71.35,12,2011
Matt Jones,91.67,IND,24,RB,25,7,248,964,6,60,33.67,3.6,35.4,8,2017
Matthew Dayes,193.0,CLE,23,RB,16,0,5,13,0,1,4.0,2.6,0.8,0,2017
Maurice Jones-Drew,23.25,JAX,24,RB,63,20,842,3924,49,211,64.25,4.75,62.1,11,2009
Maurice Morris,82.25,SEA,26,RB,58,3,171,806,1,44,32.0,4.85,13.8,3,2005
Melvin Gordon,13.75,LAC,25,RB,55,51,897,3628,28,210,49.0,4.1,66.35,10,2018
Mewelde Moore,80.75,MIN,25,RB,54,11,264,1285,1,60,24.5,5.33,24.23,6,2007
Michael Bennett,37.25,MIN,26,RB,48,43,587,2701,9,107,42.25,4.5,53.62,7,2004
Michael Bush,41.33,OAK,26,RB,45,10,376,1665,14,69,52.33,4.43,37.23,3,2010
Michael Cox,164.0,NYG,26,RB,18,1,26,76,0,2,13.0,5.15,5.7,0,2014
Michael Turner,75.0,SDG,25,RB,59,1,228,1257,6,52,65.0,5.47,21.68,2,2007
Michael Wiley,104.33,DAL,24,RB,42,1,80,503,1,24,38.33,6.2,11.57,4,2002
Mike Anderson,35.25,DEN,30,FB,59,36,626,2808,24,155,54.5,4.3,45.6,9,2003
Mike Davis,85.75,SEA,25,RB,35,9,234,862,5,46,22.75,3.1,22.57,1,2018
Mike Gillislee,100.67,BUF,26,RB,23,2,154,865,11,51,36.67,4.97,32.97,2,2016
Mike Goodson,87.0,OAK,25,RB,36,3,160,722,3,27,33.0,4.3,17.6,7,2012
Mike Green,116.5,TEN,26,RB,31,3,36,142,1,8,16.5,4.05,4.55,1,2002
Mike Hart,140.33,IND,24,RB,21,1,71,264,2,16,19.0,3.83,12.0,1,2010
Mike James,137.67,TAM,25,RB,23,3,83,351,0,19,14.0,3.87,15.03,0,2016
Mikel Leshoure,133.0,DET,23,RB,17,14,217,807,9,47,10.5,4.1,30.0,3,2013
Miles Sanders,22.0,PHI,25,RB,57,49,739,3708,20,165,56.25,5.08,65.2,9,2022
Montario Hardesty,59.0,CLE,25,RB,23,5,153,537,1,18,22.0,3.6,23.7,3,2012
Montee Ball,59.5,DEN,24,RB,21,3,175,731,5,44,34.0,3.9,34.65,4,2014
Musa Smith,130.67,BAL,24,RB,32,0,57,232,2,13,18.0,3.9,6.97,2,2006
Myles Gaskin,80.0,MIA,25,RB,38,17,361,1355,7,61,23.25,3.48,29.98,4,2022
Najeh Davenport,72.5,GNB,26,RB,39,2,217,1068,7,51,45.75,4.7,26.15,7,2005
Nick Chubb,10.5,CLE,26,RB,58,51,908,4816,36,226,77.25,5.33,83.62,6,2021
Noah Herron,76.5,GNB,24,RB,23,0,85,273,3,7,18.0,3.35,13.5,2,2006
Nyheim Hines,69.0,IND,25,RB,65,12,282,1169,9,73,25.25,4.17,18.0,5,2021
Onterrio Smith,40.5,MIN,24,RB,26,9,231,1123,7,47,42.5,4.9,44.05,3,2004
Owen Marecic,209.0,CLE,23,RB,14,4,4,8,0,1,3.0,2.0,0.6,1,2011
Paul Perkins,92.67,DET,25,RB,29,5,165,575,0,30,16.33,2.9,16.03,1,2019
Paul Smith,176.25,DET,25,RB,43,0,42,194,1,10,11.5,4.58,4.47,3,2003
Qadree Ollison,200.0,ATL,25,RB,19,0,44,158,5,14,9.33,3.43,6.8,2,2021
Quentin Griffin,49.0,DEN,23,RB,16,5,179,656,2,30,35.0,3.7,43.15,6,2004
Quincy Wilson,262.0,CIN,25,RB,3,0,2,2,0,0,5.0,1.0,0.7,0,2006
Quinn Johnson,202.0,TEN,26,FB,16,8,4,5,0,2,3.0,1.3,0.3,0,2012
Quinton Ganther,114.5,WAS,25,RB,21,4,71,262,3,15,17.5,5.0,14.9,0,2009
Rashaad Penny,82.25,SEA,25,RB,37,6,280,1572,11,65,41.25,5.0,38.28,1,2021
Rashad Jennings,61.0,JAX,27,RB,38,9,224,944,7,48,41.0,4.5,25.7,3,2012
Rashard Mendenhall,37.5,PIT,24,RB,51,44,813,3367,29,160,47.5,3.92,56.33,6,2011
Ray Rice,16.25,BAL,24,RB,61,49,959,4377,24,181,59.75,4.55,70.05,6,2011
Reagan Maui'a,215.0,MIA,23,FB,16,9,4,5,0,0,3.0,1.3,0.3,1,2007
Reggie Bush,45.0,NOR,24,RB,52,35,488,1940,17,104,34.5,4.17,38.0,17,2009
Reuben Droughns,159.33,DEN,25,RB,40,7,40,97,1,5,12.0,2.5,3.2,0,2003
Rex Burkhead,144.33,CIN,26,RB,41,1,87,375,3,25,9.67,2.87,8.27,2,2016
Robert Turbin,65.0,2TM,26,RB,58,3,281,1127,1,42,20.0,4.0,19.48,2,2015
Ron Dayne,28.67,NYG,24,RB,48,12,533,1888,15,114,47.0,3.53,39.33,4,2002
Ronald Jones II,53.0,TAM,24,RB,55,25,488,2174,18,109,46.5,3.85,36.73,7,2021
Rondell Mealey,141.0,GNB,25,RB,14,1,22,73,1,4,13.5,3.35,7.7,0,2002
Ronnie Brown,27.25,MIA,27,RB,51,46,781,3433,23,180,58.5,4.5,70.33,9,2008
Ronnie Hillman,45.5,DEN,24,RB,48,14,453,1845,12,97,39.75,4.05,38.4,8,2015
Roy Helu,108.0,WAS,26,RB,48,5,255,1132,7,61,17.75,3.75,18.98,6,2014
Royce Freeman,64.75,2TM,25,RB,61,8,353,1356,8,70,21.5,3.92,22.52,1,2021
Rudi Johnson,47.67,CIN,25,RB,36,21,593,2478,21,131,39.67,4.13,58.03,4,2004
