,Player,Rk,Tm,Age,Pos,G,GS,Intcpt,IntYds,IntTD,Lng,PD,FF,Fmb,FR,FumYds,FumTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year
2750,Michael Roberts,1276.0,DET,23,TE,15,3,0,0,0,0.0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,2017
2751,Michael Robinson,680.5,SFO,26,WR,62,2,0,0,0,0.0,0,0,2,0,0,0,0.0,46,38,8,0,0,0,2009
2752,Michael Roos,1280.0,TEN,26,LT,16,16,0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2008
2753,Michael Schofield,1276.0,DEN,25,RT,13,13,0,0,0,0.0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,2015
2754,Michael Stone,784.67,ARI,26,DB,37,0,0,0,0,0.0,0,0,0,0,0,0,0.0,29,22,7,0,0,0,2004
2755,Michael Thomas,690.14,NYG,29,DB,108,60,2,26,0,3.71,11,3,4,4,37,0,2.0,192,134,58,9,4,0,2019
2756,Michael Turner,932.25,SDG,25,RB,59,1,0,0,0,0.0,0,0,2,0,0,0,0.0,12,11,1,0,0,0,2007
2757,Michael Tyson,873.0,HOU,25,DB,10,2,0,0,0,0.0,1,0,0,0,0,0,0.0,5,3,2,0,0,0,2018
2758,Michael Vick,1283.0,ATL,24,QB,35,34,0,0,0,0.0,0,0,29,6,-8,0,0.0,0,0,0,0,0,0,2004
2759,Michael Waddell,365.5,TEN,24,DB,32,5,1,0,0,0.0,6,0,3,2,33,0,0.5,72,60,12,1,0,0,2005
2760,Michael Wiley,1009.33,DAL,24,RB,42,1,0,0,0,0.0,0,0,4,3,0,0,0.0,7,4,3,0,0,0,2002
2761,Michael Williams,1116.0,NWE,25,TE,15,9,0,0,0,0.0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,2015
2762,Mike Adams,118.0,DEN,32,FS,32,23,1,3,0,1.5,17,2,0,3,0,0,1.0,144,108,36,2,9,1,2013
2763,Mike Anderson,886.5,DEN,30,FB,27,17,0,0,0,0.0,1,0,4,2,0,0,0.0,5,5,0,0,0,0,2003
2764,Mike Banks,824.5,ARI,24,TE,18,0,0,0,0,0.0,0,0,0,0,0,0,0.0,10,8,2,0,0,0,2003
2765,Mike Brown,70.75,CHI,25,FS,64,63,11,132,3,21.0,25,6,0,4,123,1,3.0,339,280,59,6,0,0,2003
2766,Mike Catapano,868.67,NYJ,26,DE,29,4,0,0,0,0.0,0,0,0,0,0,0,2.0,11,8,3,2,8,0,2016
