,Unnamed: 0.1,Unnamed: 0,Player,Tm,Pos,Rk,Age,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Win,Loss,Att_R,Yds_R,TD_R,1D_R,Lng_R,Y/A_R,Y/G_R,Fmb_R,Year,Rookie,Vet,Con_Len,Con_Sal,Cap,%Cap,New_Con_Len,New_Perc_Cap,Con_Yrs_Lft
20,20,20,Cam Newton,CAR,QB,-0.420864657,-0.402523684,0.863892592,0.735246665,0.397253462,0.771405827,-1.413546542,0.659573896,0.401092898,-0.083035335,1.125568858,0.13127221,0.666169173,1.482226459,-0.034067052,-0.132937945,1.246024416,0.457057384,-0.579934648,-0.099951881,1.129767257,1.560464395,0.123516617,-0.169487467,-0.220240607,-0.770301089,-0.835169981,0.317657198,1.002980066,2.819954299,2.050255515,2.555055214,2.422723677,1.421996584,0.609905027,1.53124119,-0.30734239,2016,0,1,5,103800000,155270000,0.133702583,0,0.124311377,3
21,21,21,Alex Smith,KAN,QB,-0.358428691,0.729574178,0.863892592,0.897965189,0.79011669,0.678807731,0.959800268,0.655411018,0.057298985,-0.399546495,0.09246883,-0.43376904,0.774232663,1.039709645,0.241876069,0.255097138,-0.443454105,0.452060705,0.414034134,0.655353549,0.548744096,0.081940369,-0.248756721,0.350429033,0.379243583,0.939134205,0.775514982,1.542906391,-0.21411934,1.050621271,0.329250801,2.555055214,0.46852097,1.057169472,0.159303552,0.111699306,0.760268017,2016,0,1,4,68000000,155270000,0.109486701,0,0.101796407,1
22,22,22,Marcus Mariota,TEN,QB,-0.295992726,-1.308201974,0.863892592,0.897965189,0.437894486,0.511249273,-0.026308617,0.610214056,1.002732246,1.024753724,0.264652168,-0.228299495,0.4740563,-0.066582391,0.609800231,0.837149763,0.805290889,0.38835304,0.698025215,0.561629517,0.185604621,0.254614708,-0.403870612,0.708992137,0.862698575,0.36932244,0.238619995,0.807756875,0.698705214,1.556144993,1.973766417,0.645995092,1.733005074,2.607684697,1.285807239,1.474459514,1.560975822,2016,1,0,4,24213974,155270000,0.038986884,0,0.036248464,2
23,23,23,Trevor Siemian,DEN,QB,-0.23355676,-0.855362829,0.673483612,0.735246665,0.525950037,0.665579432,-0.310441686,0.595346634,0.31514442,-0.083035335,0.436835506,-0.176932108,0.450042191,0.818451238,0.057913988,0.12575211,0.364557362,0.569482675,-0.011952487,0.043390755,0.766627782,0.589171239,-0.062620052,0.099434861,0.153631253,0.939134205,0.238619995,0.807756875,0.394430363,0.208081734,-0.259715257,-0.626711656,-0.106244532,0.145101692,-0.141097432,-0.342554097,-0.040439788,2016,1,0,4,2332783,155270000,0.00375601,0,0.00349219,2
24,24,24,Tyrod Taylor,BUF,QB,-0.171120795,-0.402523684,0.863892592,0.897965189,0.390479958,0.445107776,0.057259932,0.370551216,0.229195942,0.022468385,-0.251897846,-0.536503813,0.36599281,1.260968052,-0.034067052,0.319769652,-0.076176165,0.052326339,0.317218993,0.743564402,1.565534628,0.64313197,0.806017736,-0.169487467,0.172969453,-0.200489325,-0.298274993,0.562707037,1.002980066,3.030589183,3.74066459,3.191408589,3.112442279,3.337338921,1.398457608,2.931855848,-0.040439788,2016,0,1,5,90000000,155270000,0.115927095,2,0.091317365,4
25,25,25,Ryan Tannehill,MIA,QB,-0.108684829,-0.176104112,0.483074633,0.572528141,0.336291927,0.23786442,0.959800268,0.353899704,0.401092898,0.549986984,0.781202182,0.336741755,0.197894047,0.707822034,0.701781272,0.44911468,0.144190598,0.413336438,0.562484017,-0.017254206,0.621371992,0.902143478,0.216584951,0.484890197,0.301890784,0.939134205,0.775514982,0.807756875,0.090155512,0.67147848,0.558718096,0.009641718,0.46852097,0.509928804,0.685005273,0.46185297,1.29407322,2016,0,1,4,77000000,155270000,0.123977587,0,0.108634312,2
26,26,26,Brock Osweiler,HOU,QB,-0.046248863,-0.628943257,0.863892592,0.735246665,0.607232084,0.771405827,-0.394010236,0.331301223,0.057298985,-0.505050215,1.469935534,0.336741755,0.438035137,-0.453784604,-1.045858497,-1.038353139,-1.104554395,-0.002637136,-0.812290986,0.021338042,0.476116201,0.794222017,-0.372847834,-0.886613675,-0.942200062,0.36932244,0.238619995,0.807756875,0.394430363,0.292335688,0.306304071,0.645995092,0.813380271,0.783549138,0.760105518,0.092772081,0.226462814,2016,0,1,4,72000000,155270000,0.115927095,1,0.004640719,3
27,27,27,Ryan Fitzpatrick,NYJ,QB,0.016187102,1.182413323,0.673483612,0.247091092,0.112766297,0.299596483,-0.795139274,0.184411095,-0.200546449,-0.452298355,1.642118872,0.901783004,0.149865829,-0.232526196,-0.218029133,-0.779663084,0.43801295,-0.046358083,-0.980103898,-0.535492968,-0.10490696,-0.554796255,-0.527961725,0.108398938,-0.523205736,-0.770301089,-0.835169981,-0.417492318,1.002980066,0.418716618,0.298655162,-0.626711656,0.008708568,0.145101692,0.572354904,0.149553756,1.29407322,2016,0,1,1,12000000,155270000,0.07728473,1,0.017964072,0
28,28,28,Colin Kaepernick,SFO,QB,0.078623068,0.050315461,0.292665654,0.247091092,-0.103985829,-0.017882701,-0.360582816,-0.094501738,0.143247464,0.497235124,-0.596264522,-0.639238585,-0.198338752,0.209990618,-0.126048093,0.384442166,0.070735011,-0.131301635,0.381762421,0.015824864,1.129767257,0.805014163,1.116245518,-0.510122416,0.076278454,-0.200489325,-0.298274993,-0.907591995,1.611529768,1.935287785,2.883986688,0.645995092,2.537676777,1.604410139,1.661308468,2.960246686,1.29407322,2016,0,1,6,114000000,155270000,0.122367489,0,0.0,5
29,29,29,Case Keenum,LAR,QB,0.141059033,-0.176104112,-0.088152305,-0.078345956,-0.103985829,-0.057567599,-0.076449747,-0.118289613,-0.458391884,-0.557802075,0.609018844,0.490843914,-0.174324643,0.209990618,-0.126048093,-0.456300514,-0.076176165,0.284671939,-0.541208591,-0.629217,0.185604621,0.081940369,0.154539395,-0.124667079,-0.47808327,-0.200489325,0.238619995,-0.172442479,0.090155512,-0.128934081,-0.305608716,0.009641718,0.123661669,0.053894914,0.084203306,-0.247917971,0.226462814,2016,0,1,1,3635000,155270000,0.023410833,1,0.011976048,0
