Player,Rk,Tm,Age,Pos,G,GS,Intcpt,IntYds,IntTD,Lng,PD,FF,Fmb,FR,FumYds,FumTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year
Todd Johnson,277.33,CHI,28,SS,42,18,0,0,0,0.0,5,1,0,1,0,0,0.0,145,118,27,1,0,0,2006
Tom Zbikowski,491.5,BAL,26,DB,53,14,2,13,0,5.25,4,0,0,0,0,0,1.0,88,75,13,2,2,0,2011
Tommie Campbell,712.25,JAX,27,DB,44,0,0,0,0,0.0,1,1,1,1,0,0,0.0,37,27,10,0,0,0,2014
Tony Beckham,626.75,TEN,27,DB,50,6,1,0,0,0.0,9,0,0,1,-2,0,0.0,57,48,9,0,0,0,2005
Tony Dixon,423.5,DAL,25,SS,56,15,1,0,0,0.0,8,2,0,0,0,0,6.0,126,107,19,5,0,0,2004
Tony Driver,916.0,BUF,25,DB,11,0,0,0,0,0.0,0,0,0,0,0,0,0.0,4,4,0,0,0,0,2002
Tony Scott,768.0,NYJ,25,DB,23,0,1,0,0,0.0,1,0,0,1,0,0,0.0,14,11,3,1,0,0,2001
Torrie Cox,541.33,TAM,26,DB,41,3,1,55,1,18.33,5,1,0,2,0,0,0.0,58,50,8,1,0,0,2006
Tracy Porter,236.25,NOR,25,RCB,43,39,7,95,1,19.25,32,4,0,3,2,0,1.0,195,159,36,10,2,0,2011
Travares Tillman,553.33,CAR,26,DB,35,10,1,0,0,0.0,5,1,0,1,17,0,0.0,64,49,15,0,0,0,2003
Travis Daniels,462.25,CLE,26,DB,51,26,3,31,0,7.75,19,0,0,1,0,0,0.0,132,96,36,5,2,0,2008
Travis Fisher,218.5,STL,26,RCB,47,44,7,235,2,26.0,28,2,0,3,0,0,0.0,194,179,15,0,0,0,2005
Tre Boston,289.0,LAC,25,FS,58,31,8,162,1,32.75,18,0,0,0,0,0,2.0,187,133,54,10,7,0,2017
Trent Robinson,478.67,WAS,25,SS,35,8,2,22,0,7.33,4,0,0,1,0,0,0.0,89,59,30,1,2,0,2015
Trevard Lindley,427.0,PHI,24,DB,11,1,1,8,0,8.0,1,0,0,1,0,0,0.0,23,22,1,1,0,0,2010
Trevin Wade,678.33,NYG,26,DB,31,3,0,0,0,0.0,8,1,0,2,5,1,0.0,69,55,14,3,5,0,2015
Troy Nolan,442.33,3TM,26,DB,38,7,3,35,0,6.67,9,0,0,1,0,0,1.5,93,71,22,3,2,0,2012
Troy Polamalu,131.5,PIT,25,SS,61,45,10,151,1,27.75,34,4,0,2,78,1,7.0,314,234,80,19,2,0,2006
Trumaine Johnson,184.5,STL,25,LCB,55,33,15,245,2,33.5,42,1,0,1,0,0,0.0,205,178,27,6,0,0,2015
Trumaine McBride,510.33,ARI,25,DB,46,10,1,0,0,0.0,8,1,0,1,0,0,0.0,68,58,10,1,0,0,2010
Tye Hill,410.75,ATL,27,DB,36,24,5,82,1,19.0,17,1,0,1,2,0,0.0,118,114,4,2,1,0,2009
Tyler Sash,675.0,NYG,24,DB,23,0,0,0,0,0.0,0,1,0,0,0,0,0.0,26,17,9,0,0,0,2012
Tyrann Mathieu,144.0,ARI,24,FS,50,41,9,117,1,13.5,34,3,0,1,9,0,3.0,230,213,17,22,11,0,2016
Tyrell Johnson,442.75,MIN,26,DB,49,27,2,0,0,0.0,10,0,0,2,7,0,0.0,123,98,25,2,0,0,2011
Tyrone Carter,183.5,NYJ,27,FS,62,31,3,50,0,9.0,15,1,0,1,46,1,1.0,244,197,47,1,0,0,2003
Tyrone Culver,498.67,MIA,26,DB,45,2,2,24,0,8.0,8,0,0,1,0,0,0.0,76,59,17,0,0,0,2009
Tyvon Branch,190.5,OAK,25,SS,56,48,3,51,0,12.75,15,3,1,4,76,1,6.0,346,266,80,20,8,0,2011
Usama Young,472.5,NOR,25,DB,52,6,3,27,0,6.75,14,0,0,2,7,0,1.0,106,92,14,2,1,0,2010
Victor Harris,569.5,WAS,24,DB,18,9,0,0,0,0.0,3,0,2,0,0,0,0.0,44,41,3,3,0,0,2010
Vincent Fuller,358.0,TEN,26,DB,48,1,2,137,2,25.33,8,2,0,1,0,0,1.0,107,86,21,7,9,0,2008
Vinnie Sunseri,864.0,SFO,25,DB,15,0,0,0,0,0.0,0,0,0,0,0,0,0.0,11,7,4,0,0,0,2016
Von Hutchins,493.5,HOU,26,DB,38,16,2,85,1,21.25,9,0,0,0,0,0,0.5,157,123,34,1,1,0,2007
Vontae Davis,176.75,IND,24,RCB,54,46,12,150,1,20.0,39,1,0,0,0,0,2.0,200,179,21,9,3,0,2012
Waine Bacon,596.0,IND,25,DB,11,0,1,0,0,0.0,3,0,0,0,0,0,0.0,16,13,3,2,0,0,2004
Walt Aikens,611.75,MIA,26,DB,62,3,1,43,0,10.75,1,1,0,0,0,0,0.0,61,47,14,0,0,0,2017
Walter McFadden,795.0,OAK,23,DB,4,0,0,0,0,0.0,0,0,0,0,0,0,0.0,6,5,1,0,0,0,2010
Walter Thurmond,569.75,SEA,26,DB,34,8,1,29,1,7.25,16,2,1,1,-2,0,1.0,85,67,18,5,2,0,2013
Will Allen,252.38,TAM,25,DB,195,142,16,140,0,9.92,122,9,0,9,34,1,5.0,676,570,106,23,6,0,2007
Will Blackmon,789.5,GNB,25,DB,32,2,0,0,0,0.0,1,2,4,5,0,1,0.0,41,36,5,0,0,0,2009
Will Davis,793.0,BAL,26,DB,20,0,1,0,0,0.0,5,0,0,0,0,0,0.0,30,26,4,0,0,0,2016
Will Peterson,1280.67,NYG,25,RCB,44,32,5,10,0,3.33,0,1,0,0,0,0,0.0,0,0,0,0,0,0,2004
Will Poole,411.0,MIA,23,DB,15,1,0,0,0,0.0,5,0,0,0,0,0,1.0,31,26,5,1,0,0,2004
William Bartee,256.5,KAN,26,DB,57,22,0,0,0,0.0,16,1,1,1,0,0,2.0,184,168,16,6,0,0,2003
William Gay,263.0,PIT,25,DB,64,22,1,12,0,3.0,30,2,1,1,0,0,3.0,192,162,30,11,11,0,2010
William Middleton,374.75,JAX,26,DB,49,12,2,13,0,3.25,5,0,1,0,0,0,1.0,125,108,17,4,2,0,2012
William Moore,371.75,ATL,27,SS,42,38,11,224,0,24.0,26,5,0,2,0,0,1.5,202,158,44,11,9,0,2012
Willie Andrews,765.0,NWE,24,DB,30,0,0,0,0,0.0,0,0,0,0,0,0,0.0,23,12,11,0,0,0,2007
Willie Middlebrooks,613.0,DEN,25,DB,51,2,0,0,0,0.0,6,0,0,1,0,0,1.0,70,56,14,1,0,0,2004
Willie Offord,596.0,MIN,27,DB,47,7,2,6,0,1.5,6,0,0,0,0,0,0.0,76,59,17,2,0,0,2005
Willie Pile,425.0,DAL,25,DB,32,6,0,0,0,0.0,2,0,0,0,0,0,0.0,67,50,17,1,0,0,2005
Winston Guy,611.0,IND,25,DB,33,5,0,0,0,0.0,2,1,0,0,0,0,2.0,49,36,13,2,2,0,2015
Xavier Rhodes,167.25,MIN,26,RCB,59,52,7,133,1,25.0,50,2,0,0,0,0,0.0,206,179,27,9,0,0,2016
Yeremiah Bell,459.0,MIA,28,SS,45,11,1,0,0,0.0,16,4,0,4,12,0,5.0,115,75,40,3,3,0,2006
Zackary Bowman,498.25,CHI,27,DB,46,16,7,67,0,9.75,11,3,1,3,0,1,0.0,114,101,13,1,1,0,2011
Zeke Motta,656.0,ATL,23,DB,10,1,0,0,0,0.0,1,0,0,0,0,0,0.0,16,8,8,0,0,0,2013
David Long,402.38,LAR,24,DB,102,36,5,10,0,1.25,21,2,0,0,0,0,0.0,307,204,103,15,5,0,2022
Nic Harris,407.0,CAR,24,DB,30,6,0,0,0,0.0,0,0,0,2,16,0,1.5,67,50,17,5,2,0,2010
Sabby Piscitelli,419.5,2TM,27,S,50,20,5,144,0,29.75,14,2,0,1,72,0,0.0,156,132,24,3,2,0,2010
Kevin Ellison,201.0,SDG,22,SS,13,9,0,0,0,0.0,3,0,0,0,0,0,1.0,52,43,9,3,2,0,2009
C.J. Wilson,680.33,CHI,24,DB,60,11,0,0,0,0.0,1,0,0,1,0,0,3.5,91,64,27,9,8,0,2013
