Player,Rk,Age,G,GS,Win,Loss,Tie,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Lng_R,Fmb,Att_R,Yds_R,TD_R,1D_R,Y/A_R,Y/G_R,Rnd,Pick,Year,ConLenR,ConSalR,ConLen,ConSal,FTag,PPY,%Cap
Jake Locker,38.75,26.0,30.0,23.0,9.0,14.0,0.0,408.0,709.0,56.88,4967.0,27.0,4.28,22.0,2.62,221.0,63.0,7.2,6.88,12.75,156.88,82.75,60.0,378.0,7.8,6.13,5.84,1.0,3.0,29.25,10.0,95.0,644.0,5.0,39.0,6.78,20.02,1.0,8.0,2011.0,4.0,12.586,0.0,0.0,0.0,0.0,0.0
Jake Luton,44.0,24.0,3.0,3.0,0.0,3.0,0.0,60.0,110.0,54.5,624.0,2.0,1.8,6.0,5.5,31.0,73.0,5.7,3.6,10.4,208.0,54.5,7.0,52.0,6.0,4.89,2.92,0.0,0.0,13.0,2.0,1.0,13.0,1.0,1.0,13.0,4.3,6.0,189.0,2020.0,4.0,3.476,1.0,0.78,0.0,0.78,0.0
Jake Rudock,71.0,24.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,24.0,0.0,0.0,1.0,20.0,1.0,13.0,4.8,-4.2,8.0,8.0,32.5,0.0,0.0,0.0,4.8,-4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,191.0,2016.0,4.0,2.473,2.0,0.99,0.0,0.495,0.0012
Jalen Hurts,23.33,24.0,45.0,34.0,23.0,11.0,0.0,648.0,1040.0,59.93,7906.0,44.0,4.2,19.0,2.03,363.0,80.0,7.5,7.43,12.6,175.67,88.77,77.0,440.0,7.13,6.58,6.5,3.0,4.0,32.33,27.0,367.0,1898.0,26.0,149.0,5.27,42.2,2.0,53.0,2020.0,4.0,6.025,0.0,0.0,0.0,0.0,0.0
Jameis Winston,14.5,24.0,56.0,54.0,21.0,33.0,0.0,1183.0,1922.0,61.88,14628.0,88.0,4.58,58.0,3.05,754.0,61.75,7.65,7.22,12.4,262.43,88.17,122.0,793.0,6.05,6.8,6.38,5.0,9.0,17.5,38.0,189.0,794.0,9.0,59.0,4.2,14.88,1.0,1.0,2015.0,4.0,25.351,1.0,1.1,0.0,1.1,0.0058
Jared Goff,13.0,25.0,54.0,54.0,33.0,21.0,0.0,1166.0,1869.0,61.12,14219.0,87.0,4.38,42.0,2.4,713.0,74.0,7.28,7.08,11.82,248.03,87.92,106.0,787.0,6.33,6.35,6.17,6.0,7.0,13.0,35.0,112.0,215.0,6.0,21.0,1.88,3.75,1.0,1.0,2016.0,4.0,27.937,4.0,134.0,0.0,33.5,0.0423
Jarrett Stidham,60.0,26.0,13.0,2.0,0.0,2.0,0.0,77.0,131.0,54.63,926.0,6.0,3.1,7.0,11.8,45.0,36.33,5.73,1.03,10.33,62.37,54.2,12.0,75.0,12.03,4.36,0.49,0.0,0.0,5.33,3.0,23.0,89.0,0.0,10.0,2.0,5.83,4.0,133.0,2019.0,4.0,3.153,0.0,0.0,0.0,0.0,0.0
Jason Campbell,22.67,27.0,36.0,36.0,16.0,20.0,0.0,675.0,1130.0,58.47,7242.0,35.0,3.43,23.0,2.23,377.0,62.33,6.4,6.07,10.97,198.6,79.47,66.0,431.0,5.03,5.73,5.42,3.0,6.0,22.33,21.0,107.0,550.0,2.0,38.0,5.03,15.2,1.0,25.0,2005.0,5.0,7.5,1.0,3.14,0.0,3.14,0.0255
Jay Cutler,16.5,26.0,53.0,53.0,24.0,29.0,0.0,1098.0,1775.0,61.38,12690.0,81.0,4.97,63.0,3.55,615.0,75.75,7.17,6.58,11.72,232.7,84.85,86.0,511.0,5.47,6.46,5.88,7.0,11.0,22.0,33.0,153.0,596.0,4.0,44.0,3.5,9.93,1.0,11.0,2006.0,6.0,47.862,5.0,50.37,0.0,10.074,0.0651
Jeff Driskel,39.5,26.0,12.0,8.0,1.0,7.0,0.0,167.0,281.0,59.35,1688.0,10.0,3.6,6.0,2.45,81.0,42.0,6.1,5.75,10.3,169.85,78.75,27.0,168.0,8.9,5.05,4.7,0.0,0.0,25.0,5.0,47.0,281.0,3.0,17.0,6.05,32.35,6.0,207.0,2016.0,4.0,2.452,1.0,0.72,0.0,0.72,0.0036
