Player,Rk,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year
Tajae Sharpe,151.67,TEN,25,WR,47,29,165,92,58.7,1167,12.7,8,69,36.33,7.47,1.97,24.77,0,2019
Talman Gardner,377.0,NOR,24,WR,21,2,16,4,60.0,52,16.35,0,3,17.0,12.45,0.2,2.5,0,2004
Tandon Doss,319.33,BAL,24,WR,35,2,55,26,31.33,428,11.23,1,19,34.0,5.23,0.6,9.7,1,2013
Tavarres King,401.5,NYG,26,WR,9,0,7,4,58.35,63,15.75,0,2,25.5,8.4,0.65,6.8,0,2016
Tavon Austin,91.25,LAR,26,WR,59,41,306,181,60.75,1642,9.05,12,75,54.5,5.45,3.1,27.95,17,2016
Taylor Jacobs,282.75,SFO,25,WR,46,7,70,34,46.65,344,9.95,1,18,24.5,4.8,0.68,6.7,0,2006
Taylor Price,379.5,2TM,24,WR,6,0,8,5,62.5,80,16.6,0,3,19.5,10.05,1.7,24.4,0,2011
Taywan Taylor,342.25,CLE,25,WR,35,10,86,53,30.8,697,6.75,2,28,27.0,4.15,0.95,12.55,1,2020
Ted Ginn Jr.,127.25,SFO,25,WR,61,35,277,140,47.77,1827,13.0,6,84,52.0,6.22,2.23,29.15,11,2010
Tee Higgins,31.67,CIN,23,WR,46,42,327,215,65.73,3028,14.07,19,165,60.0,9.23,4.7,66.33,2,2022
Terrance Williams,95.5,DAL,27,WR,64,52,294,177,60.9,2791,15.8,20,131,55.5,9.5,2.8,43.6,3,2016
Terrence Austin,300.0,WAS,23,WR,18,0,31,15,53.1,184,13.55,0,9,30.0,7.35,0.75,9.95,1,2011
Terrence Murphy,313.0,GNB,23,WR,3,0,11,5,45.5,36,7.2,0,4,12.0,3.3,1.7,12.0,0,2005
Terry Godwin,395.0,JAX,24,WR,3,0,6,3,50.0,32,10.7,0,2,21.0,5.3,1.0,10.7,0,2020
Terry McLaurin,30.75,WAS,27,WR,63,63,477,299,62.67,4281,14.47,21,197,60.25,9.05,4.72,68.03,2,2022
Tim Carter,244.75,NYG,26,WR,37,3,98,50,55.85,714,16.05,1,32,34.75,8.93,1.43,20.5,1,2005
Tiquan Underwood,269.67,TAM,25,WR,30,3,83,39,45.77,566,13.03,2,27,32.33,5.9,1.1,15.5,0,2012
Titus Young,104.5,DET,23,WR,26,17,142,81,57.35,990,12.1,10,53,51.5,6.95,3.15,38.1,1,2012
Todd Pinkston,116.75,PHI,26,WR,62,46,317,148,43.6,2140,15.35,13,91,52.0,6.53,2.42,34.88,3,2003
Todd Watkins,373.5,OAK,26,WR,21,1,20,8,21.05,90,5.65,0,4,14.0,2.35,0.3,3.45,0,2009
Tommy Streeter,476.0,JAX,25,WR,2,0,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2014
Toney Clemons,365.0,JAX,24,WR,4,0,11,3,27.3,41,13.7,0,2,17.0,3.7,0.8,10.3,0,2012
Torrey Smith,68.5,BAL,25,WR,64,62,434,213,49.45,3591,16.82,30,161,63.75,8.3,3.35,56.1,2,2014
Travis Benjamin,191.75,CLE,26,WR,54,21,221,109,45.15,1683,17.3,10,69,53.0,7.67,1.82,28.6,8,2015
Travis Fulgham,304.0,PHI,25,WR,16,8,70,38,28.35,539,7.1,4,26,21.0,4.0,1.45,20.75,0,2020
Travis Taylor,86.5,BAL,25,WR,57,52,352,170,48.4,2337,13.4,15,108,60.0,6.42,2.98,39.88,1,2003
Travis Wilson,383.0,CLE,22,WR,4,1,6,2,33.3,32,16.0,0,2,16.0,5.3,0.5,8.0,0,2006
Tre McBride,352.0,CHI,25,WR,15,3,19,10,51.65,152,11.0,1,7,26.0,5.8,0.65,9.55,0,2017
Tre'Quan Smith,159.75,NOR,25,WR,51,29,169,112,66.9,1486,13.32,17,82,39.75,8.9,2.2,29.02,2,2021
Trent Taylor,187.0,SFO,26,WR,41,2,122,79,60.9,731,8.97,3,43,28.33,5.5,1.87,17.1,2,2020
Trevor Davis,337.0,3TM,26,WR,41,4,25,16,62.33,205,11.97,1,8,22.0,7.83,0.4,4.83,5,2019
Trevor Gaylor,190.0,ATL,25,WR,34,7,119,52,43.13,784,14.97,4,40,55.67,6.47,1.6,24.53,0,2002
Trey Quinn,238.0,WAS,24,WR,15,8,57,35,72.65,273,7.95,2,15,17.0,5.85,2.6,20.75,1,2019
Triandos Luke,308.0,DEN,23,WR,10,0,8,6,75.0,52,8.7,0,4,12.0,6.5,0.6,5.2,2,2004
Trindon Holliday,394.0,2TM,26,WR,15,0,2,2,100.0,17,8.5,0,0,15.0,8.5,0.1,1.1,6,2012
Troy Walters,236.0,IND,27,WR,43,5,78,55,80.4,668,9.73,3,38,26.0,7.37,1.2,14.57,9,2003
Troy Williamson,195.75,JAX,25,WR,47,23,180,84,44.9,1097,11.78,4,51,43.0,5.42,1.62,21.18,0,2008
Ty Montgomery,174.75,2TM,25,WR,42,14,146,107,73.55,892,8.47,3,41,30.25,6.22,2.55,21.4,4,2018
Tyler Boyd,72.75,CIN,25,WR,56,32,369,242,66.67,2902,11.62,15,152,43.75,7.75,4.15,49.75,3,2019
Tyler Johnson,200.5,TAM,23,WR,31,6,72,48,68.05,529,12.05,2,26,33.0,8.2,1.5,16.65,0,2021
Tyler Lockett,79.75,SEA,26,WR,63,39,276,194,70.2,2781,14.2,19,118,58.0,10.05,3.08,44.08,4,2018
Tyreek Hill,35.0,KAN,25,WR,59,42,414,281,68.4,4115,14.32,32,176,65.0,9.72,4.75,70.03,6,2019
Tyrie Cleveland,424.0,DEN,25,WR,23,0,17,8,31.77,91,8.17,0,5,11.0,3.67,0.3,3.67,0,2022
Tyrone Calico,236.67,TEN,25,WR,27,8,89,42,48.1,501,10.57,4,27,24.0,4.9,1.7,16.7,1,2005
Van Jefferson,155.0,LAR,26,WR,44,26,164,93,57.33,1391,14.33,10,67,49.67,8.17,2.1,31.5,1,2022
Vince Mayle,473.5,BAL,26,WR,17,0,2,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2017
Vincent Brown,177.0,OAK,25,WR,37,16,131,72,54.4,919,12.87,3,52,34.0,6.83,1.9,23.3,0,2014
Vincent Jackson,152.0,SDG,25,WR,56,39,245,130,48.85,2233,17.57,16,101,45.25,8.55,2.1,35.8,1,2008
Vinny Sutherland,401.0,SFO,23,WR,15,0,1,1,100.0,5,5.0,0,0,5.0,5.0,0.1,0.3,1,2001
Walt Powell,245.0,BUF,25,WR,9,2,25,14,56.0,142,10.1,0,7,35.0,5.7,1.6,15.8,0,2016
Walter Young,442.0,PIT,27,WR,9,0,6,1,50.0,17,8.5,0,1,8.5,8.5,0.25,4.25,0,2006
Will Franklin,291.0,KAN,23,WR,13,1,17,7,41.2,83,11.9,0,3,42.0,4.9,0.5,6.4,0,2008
Will Fuller,112.25,HOU,25,WR,42,41,258,156,61.8,2231,14.5,16,100,59.75,9.0,3.83,55.12,3,2019
Willie Ponder,361.0,NYG,24,WR,15,0,12,8,81.8,38,4.0,0,1,9.5,3.1,0.95,4.55,1,2004
Willie Reid,347.0,PIT,25,WR,6,0,6,4,66.7,54,13.5,0,2,25.0,9.0,0.7,9.0,1,2007
Windrell Hayes,347.0,NYJ,25,WR,9,1,21,6,15.8,126,10.5,0,6,16.0,3.3,0.4,7.9,0,2001
Yamon Figurs,398.25,2TM,27,WR,34,0,12,5,50.83,103,23.62,1,2,24.25,8.15,0.35,3.98,8,2010
Zay Jones,158.75,LVR,25,WR,62,36,241,124,55.35,1338,10.57,10,68,37.5,5.8,2.0,21.48,1,2020
Zuriel Smith,355.0,DAL,23,WR,9,0,3,3,100.0,46,15.3,0,1,32.0,15.3,0.3,5.1,3,2003
