Player,Rk,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year
Freddie Mitchell,172.75,PHI,26,WR,63,17,171,90,51.75,1263,13.4,5,63,36.5,6.95,1.45,20.05,1,2004
Freddie Swain,277.0,2TM,24,WR,37,10,67,42,63.7,576,14.8,6,21,47.67,9.5,1.1,16.2,2,2022
Gabriel Davis,112.67,BUF,23,WR,47,30,218,118,54.57,1984,16.73,20,101,67.67,9.13,2.53,42.47,2,2022
Gari Scott,360.0,PHI,23,WR,3,0,4,2,50.0,26,13.0,0,1,18.0,6.5,0.7,8.7,0,2001
Geremy Davis,458.33,LAC,26,WR,27,0,6,2,22.23,21,3.5,0,1,5.33,2.33,0.07,0.7,0,2018
Golden Tate,112.5,SEA,25,WR,58,33,264,165,61.23,2195,12.75,15,94,54.0,7.9,2.77,36.62,6,2013
Greg Jennings,44.5,GNB,26,WR,59,52,447,246,55.15,3957,16.0,28,169,75.75,8.93,4.15,66.57,3,2009
Greg Little,132.0,CIN,25,WR,54,42,324,161,49.77,1890,11.65,8,95,46.75,5.85,2.67,31.32,0,2014
Greg Salas,244.67,NYJ,26,WR,24,2,74,43,55.8,574,16.2,0,22,38.67,8.4,2.1,26.2,3,2014
Hakeem Butler,505.0,PHI,24,WR,2,0,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2020
Hakeem Nicks,42.5,NYG,24,WR,55,44,435,255,58.83,3726,14.72,27,166,58.0,8.7,4.67,67.5,3,2012
Harry Douglas,143.0,ATL,27,WR,48,8,154,84,54.47,1112,13.37,3,48,54.67,7.23,1.73,23.17,1,2011
Henry Ruggs III,185.5,LVR,22,WR,20,19,79,50,63.6,921,18.45,4,29,66.5,11.75,2.7,50.9,2,2021
Herb Haygood,412.0,DEN,25,WR,4,0,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2002
Hunter Renfrow,66.75,LVR,27,WR,56,20,326,244,73.55,2629,10.82,17,132,49.75,7.92,4.25,45.4,11,2022
Isaiah Coulter,519.0,CHI,23,WR,3,0,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2021
Isaiah Ford,282.33,MIA,24,WR,19,1,80,51,43.1,520,6.83,0,34,15.33,4.43,1.9,19.37,0,2020
Isaiah Hodgins,119.0,2TM,24,WR,10,5,48,37,77.1,392,10.6,4,24,29.0,8.2,3.7,39.2,1,2022
Isaiah McKenzie,227.25,BUF,25,WR,50,16,116,79,62.05,744,9.0,6,41,32.25,5.75,1.6,14.88,8,2020
J'Mon Moore,418.0,GNB,23,WR,12,0,3,2,66.7,15,7.5,0,1,10.0,5.0,0.2,1.3,1,2018
JJ Arcega-Whiteside,355.67,PHI,25,WR,40,7,35,16,45.17,290,18.73,1,13,30.0,8.5,0.4,7.83,0,2021
