Player,Rk,Tm,Age,Pos,G,GS,Win,Loss,Tie,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Year
Seneca Wallace,51.5,SEA,26,QB,15,4,2,2,0,95,166,55.1,1100,9,4.85,8,4.5,52,45.5,6.75,5.7,12.3,70.3,73.55000000000001,17,103,9.85,5.455,4.51,1,1,2006
Shann Schillinger,85.0,2TM,27,DB,6,0,0,0,0,1,1,100.0,-8,0,0.0,0,0.0,0,0.0,-8.0,-8.0,-8.0,-1.3,79.2,0,0,0.0,-8.0,-8.0,0,0,2013
Sidney Rice,90.66666666666667,MIN,23,WR,42,21,0,0,0,2,4,33.333333333333336,94,0,0.0,0,0.0,1,26.333333333333332,15.666666666666666,15.666666666666666,15.666666666666666,2.4,65.96666666666667,0,0,0.0,15.666666666666666,15.666666666666666,0,0,2009
Spergon Wynn,50.0,MIN,23,QB,10,3,0,3,0,70,152,44.85,585,1,0.5,7,4.0,25,39.5,3.7,2.0,8.149999999999999,81.60000000000001,39.900000000000006,23,154,14.35,2.215,0.72,0,0,2001
Stephen McGee,56.5,DAL,26,QB,3,1,1,0,0,46,82,56.6,420,3,3.55,0,0.0,20,28.0,5.1,5.8,9.2,150.5,82.4,6,50,6.85,4.18,4.85,1,1,2011
Steve Breaston,82.0,ARI,27,WR,13,11,0,0,0,1,2,50.0,17,0,0.0,0,0.0,1,17.0,8.5,8.5,17.0,1.3,79.2,0,0,0.0,8.5,8.5,0,0,2010
Steve Smith Sr.,112.0,CAR,25,WR,1,1,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2004
Steven Jackson,91.0,STL,24,RB,12,12,0,0,0,1,1,100.0,2,1,100.0,0,0.0,1,2.0,2.0,22.0,2.0,0.2,118.7,0,0,0.0,2.0,22.0,0,0,2007
Sylvester Morris,72.0,KAN,23,WR,15,14,0,0,0,1,1,100.0,31,0,0.0,0,0.0,1,31.0,31.0,31.0,31.0,2.1,118.7,0,0,0.0,31.0,31.0,0,0,2000
T.J. Duckett,100.0,ATL,22,RB,16,10,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2003
T.J. Yates,55.0,ATL,27,QB,14,5,2,3,0,104,170,61.1,1164,3,0.55,7,11.575,61,32.25,8.0,2.9,12.475,67.35,52.974999999999994,18,81,6.875,7.4350000000000005,2.5375,1,2,2014
T.Y. Hilton,82.0,IND,23,WR,15,1,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2012
Tarik Cohen,82.5,CHI,23,RB,32,11,0,0,0,2,3,75.0,22,2,75.0,0,0.0,2,11.0,5.75,20.75,11.0,0.7000000000000001,122.9,0,0,0.0,5.75,20.75,0,0,2018
Tarvaris Jackson,41.25,MIN,26,QB,33,19,10,9,0,320,545,60.5,3643,21,4.1,18,2.575,171,53.5,7.275,6.9,11.925,105.125,85.525,41,204,5.925,6.5625,6.26,3,4,2009
Tavon Austin,75.0,STL,23,WR,13,3,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2013
Teddy Bridgewater,41.666666666666664,MIN,25,QB,30,28,17,11,0,551,851,43.23333333333333,6150,28,2.1999999999999997,22,18.333333333333332,290,46.333333333333336,4.833333333333333,-3.0,7.466666666666666,142.13333333333333,57.96666666666667,83,556,5.933333333333334,4.003333333333333,-3.78,4,4,2017
Tee Martin,66.0,OAK,25,QB,2,0,0,0,0,6,16,37.5,69,0,0.0,1,6.3,5,17.0,4.3,1.5,11.5,34.5,25.3,1,5,5.9,3.76,1.12,0,0,2003
Tim Rattay,68.0,SFO,26,QB,19,3,2,1,0,102,164,80.6,1105,9,2.6500000000000004,2,0.425,53,26.0,4.8,5.125,6.775,34.7,94.175,12,80,4.0,4.3025,4.6125,0,0,2003
