Player,Rk,Tm,Age,Pos,G,GS,Win,Loss,Tie,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Year
Jalen Hurts,23.333333333333332,PHI,24,QB,45,34,23,11,0,648,1040,59.93333333333334,7906,44,4.2,19,2.0333333333333337,363,80.0,7.5,7.433333333333334,12.6,175.66666666666666,88.76666666666667,77,440,7.133333333333333,6.576666666666667,6.503333333333333,3,4,2022
Jamal Agnew,102.0,DET,25,WR,14,2,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2020
Jameis Winston,14.5,TAM,24,QB,56,54,21,33,0,1183,1922,61.875,14628,88,4.575,58,3.05,754,61.75,7.65,7.225,12.4,262.425,88.175,122,793,6.05,6.7975,6.375,5,9,2018
James Allen,83.0,HOU,27,RB,16,5,0,0,0,1,2,50.0,5,1,50.0,0,0.0,1,5.0,2.5,12.5,5.0,0.3,95.8,0,0,0.0,2.5,12.5,0,0,2002
James Proche,104.0,BAL,26,WR,15,0,0,0,0,0,1,0.0,0,0,0.0,1,100.0,0,0.0,0.0,-45.0,0.0,0.0,0.0,0,0,0.0,0.0,-45.0,0,0,2022
Jamison Crowder,82.0,WAS,22,WR,16,6,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2015
Jaquan Johnson,95.0,BUF,25,DB,14,0,0,0,0,1,1,100.0,13,0,0.0,0,0.0,1,13.0,13.0,13.0,13.0,0.9,118.7,0,0,0.0,13.0,13.0,0,0,2020
Jared Goff,13.0,LAR,25,QB,54,54,33,21,0,1166,1869,61.125,14219,87,4.375,42,2.4,713,74.0,7.275,7.075,11.825,248.02499999999998,87.925,106,787,6.325,6.3525,6.1725,6,7,2019
Jarious Jackson,75.0,DEN,26,QB,4,1,0,1,0,11,22,34.23333333333333,114,0,0.0,1,3.6999999999999997,8,11.666666666666666,3.5666666666666664,1.8999999999999997,6.900000000000001,38.0,44.699999999999996,2,11,19.233333333333334,2.4033333333333333,0.7366666666666668,0,0,2003
Jarrett Stidham,60.0,LVR,26,QB,13,2,0,2,0,77,131,54.63333333333333,926,6,3.1,7,11.799999999999999,45,36.333333333333336,5.733333333333333,1.0333333333333334,10.333333333333334,62.36666666666667,54.20000000000001,12,75,12.033333333333333,4.3566666666666665,0.49333333333333346,0,0,2022
Jarvis Landry,84.0,MIA,25,WR,48,46,0,0,0,1,3,33.333333333333336,9,0,0.0,0,0.0,1,3.0,3.0,3.0,3.0,0.19999999999999998,61.13333333333333,0,0,0.0,3.0,3.0,0,0,2017
Jason Campbell,22.666666666666668,WAS,27,QB,36,36,16,20,0,675,1130,58.46666666666667,7242,35,3.4333333333333336,23,2.2333333333333334,377,62.333333333333336,6.3999999999999995,6.066666666666667,10.966666666666669,198.6,79.46666666666665,66,431,5.033333333333333,5.73,5.423333333333333,3,6,2008
Jay Cutler,16.5,CHI,26,QB,53,53,24,29,0,1098,1775,61.375,12690,81,4.975,63,3.55,615,75.75,7.175,6.575,11.725000000000001,232.7,84.85,86,511,5.475,6.465,5.88,7,11,2009
Jaylen Samuels,63.0,PIT,23,RB,14,4,0,0,0,4,5,80.0,35,0,0.0,1,20.0,2,21.0,7.0,-2.0,8.8,2.5,56.2,0,0,0.0,7.0,-2.0,0,0,2019
Jeff Driskel,39.5,DET,26,QB,12,8,1,7,0,167,281,59.35,1688,10,3.5999999999999996,6,2.45,81,42.0,6.1,5.75,10.3,169.85000000000002,78.75,27,168,8.9,5.05,4.695,0,0,2019
Jeremy Kerley,74.75,NYJ,26,WR,58,23,0,0,0,2,4,50.0,83,0,0.0,0,0.0,2,20.75,20.75,20.75,20.75,1.375,79.15,0,0,0.0,20.75,20.75,0,0,2014
Jerick McKinnon,92.0,MIN,24,RB,15,7,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2016
Jerious Norwood,94.0,ATL,23,RB,14,0,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2006
Jesse Palmer,59.5,NYG,25,QB,8,3,0,3,0,63,120,63.35,562,3,1.3,4,1.7,28,27.0,6.05,5.55,9.45,51.85,77.15,16,95,6.05,5.405,4.95,0,0,2003
Jim Sorgi,59.666666666666664,IND,27,QB,13,0,0,0,0,77,126,59.166666666666664,751,6,4.866666666666667,1,0.5333333333333333,33,42.666666666666664,5.666666666666667,6.366666666666667,9.4,55.199999999999996,88.93333333333334,6,37,4.433333333333334,5.123333333333334,5.82,0,0,2007
Jimmy Clausen,33.0,CAR,23,QB,13,10,1,9,0,157,299,52.5,1558,3,1.0,9,3.0,73,55.0,5.2,4.1,9.9,119.8,58.4,33,223,9.9,4.02,2.98,0,0,2010
Jimmy Garoppolo,51.0,SFO,26,QB,23,7,7,0,0,183,272,57.775000000000006,2250,12,3.475,5,0.7,111,35.25,6.25,6.625,10.075,93.8,87.575,16,108,6.1,5.38,5.7250000000000005,3,3,2017
Joe Burrow,11.333333333333334,CIN,26,QB,42,42,24,17,1,1044,1530,68.0,11774,82,5.166666666666667,31,1.9666666666666668,622,69.66666666666667,7.666666666666667,7.766666666666666,11.200000000000001,278.90000000000003,99.63333333333333,124,860,7.5,6.53,6.663333333333333,5,7,2022
Joe Flacco,14.5,BAL,26,QB,64,64,44,20,0,1190,1958,60.825,13816,80,4.075,46,2.35,681,70.75,7.050000000000001,6.8,11.625,215.875,85.925,139,991,6.675,6.1125,5.875,6,10,2011
Joe Webb,49.5,MIN,25,QB,16,3,1,1,0,88,152,57.35,853,3,2.4,5,3.3,43,41.0,5.7,4.65,9.95,64.80000000000001,67.75,11,69,6.35,4.9,3.9749999999999996,0,1,2011
Joey Harrington,21.0,DET,27,QB,58,55,18,37,0,986,1802,54.725,10242,60,3.35,62,3.45,501,71.0,5.7,4.825,10.475,175.675,68.325,77,462,4.275,5.2125,4.3625,6,6,2005
John Beck,52.0,MIA,26,QB,5,4,0,4,0,60,107,56.1,559,1,0.9,3,2.8,23,22.0,5.2,4.1,9.3,111.8,62.0,10,69,8.5,4.19,3.21,0,0,2007
John Navarre,59.5,ARI,25,QB,2,1,0,1,0,32,64,51.65,342,2,3.35,5,7.1,12,38.0,5.75,3.2,10.850000000000001,171.0,51.6,5,35,8.35,4.575,2.18,0,0,2005
John Skelton,36.666666666666664,ARI,24,QB,20,17,8,9,0,320,602,52.23333333333333,3707,15,2.1999999999999997,25,3.733333333333333,167,58.0,5.966666666666666,4.733333333333333,11.366666666666667,177.73333333333335,62.199999999999996,47,325,7.1000000000000005,5.03,3.8833333333333333,6,7,2012
Johnny Manziel,45.0,CLE,23,QB,14,8,2,6,0,147,258,54.599999999999994,1675,7,1.55,7,3.95,78,46.5,5.85,4.35,10.649999999999999,100.85,60.7,22,167,7.9,4.77,3.405,0,0,2015
Jonathan Williams,96.0,BUF,22,RB,11,0,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2016
Jordan Love,57.0,GNB,24,QB,10,1,0,1,0,50,83,62.400000000000006,606,3,4.0,3,2.4,31,62.5,7.95,7.6499999999999995,12.65,58.65,90.45,3,23,2.3,7.629999999999999,7.375,0,0,2022
Jordan Palmer,73.5,CIN,26,QB,4,0,0,0,0,10,15,79.15,59,0,0.0,2,8.35,5,10.0,4.7,0.9500000000000002,5.95,15.85,58.5,4,31,27.15,0.8700000000000001,-2.345,0,0,2010
Joseph Addai,76.0,IND,26,RB,15,15,0,0,0,1,1,100.0,22,1,100.0,0,0.0,1,22.0,22.0,42.0,22.0,1.5,158.3,0,0,0.0,22.0,42.0,0,0,2009
Josh Allen,13.875,BUF,26,QB,126,125,86,39,0,2680,4245,62.3375,30437,231,5.2625,94,2.2875,1573,63.875,7.1125,7.1625000000000005,11.450000000000001,239.1375,91.7375,241,1495,5.637499999999999,6.3675,6.3975,17,23,2022
Josh Bush,76.0,NYJ,24,DB,16,0,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2013
Josh Freeman,15.75,TAM,24,QB,57,56,24,32,0,1101,1873,58.375,12963,78,4.1,63,3.625,613,66.5,6.875,6.075,11.825,223.7,77.975,103,622,5.4,6.1825,5.422499999999999,9,10,2012
Josh Huff,88.0,2TM,25,WR,10,2,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2016
Josh Johnson,53.666666666666664,TAM,25,QB,26,5,0,5,0,96,177,63.56666666666666,1042,5,2.0,10,4.0,48,33.0,6.3999999999999995,5.0,10.566666666666668,50.53333333333333,69.03333333333333,16,91,8.966666666666667,5.336666666666666,4.053333333333334,0,0,2011
Josh McCown,38.75,ARI,26,QB,33,22,10,12,0,498,862,53.4,5431,25,2.25,29,5.324999999999999,263,45.75,5.7,3.75,10.55,135.925,57.375,79,588,12.049999999999999,4.0649999999999995,2.46,3,3,2005
Josh Rosen,51.333333333333336,ATL,24,QB,24,16,3,13,0,277,513,42.2,2864,12,1.2333333333333332,21,8.799999999999999,139,43.0,4.233333333333333,0.5333333333333332,9.933333333333334,87.33333333333333,39.56666666666667,61,413,7.7,3.33,-0.2566666666666668,1,2,2021
Joshua Dobbs,82.5,PIT,25,QB,6,0,0,0,0,10,17,65.0,45,0,0.0,1,4.15,2,12.5,2.0,0.1,3.85,5.3,51.6,0,0,0.0,1.99,0.115,0,0,2020
Justin Herbert,3.3333333333333335,LAC,24,QB,49,49,25,24,0,1316,1966,66.89999999999999,14089,94,4.833333333333333,35,1.7666666666666668,700,66.33333333333333,7.2,7.366666666666667,10.700000000000001,287.59999999999997,96.39999999999999,101,638,4.8999999999999995,6.516666666666667,6.669999999999999,10,13,2022
Justin Jefferson,75.0,MIN,23,WR,34,34,0,0,0,4,6,75.0,69,0,0.0,0,0.0,4,23.5,12.9,12.9,17.25,2.05,99.45,0,0,0.0,12.875,12.875,0,0,2022
Keith Null,47.0,STL,24,QB,4,4,0,4,0,73,119,61.3,566,3,2.5,9,7.6,30,25.0,4.8,1.9,7.8,141.5,49.9,13,82,9.8,3.67,1.05,0,0,2009
Kellen Clemens,60.25,NYJ,26,QB,24,9,4,5,0,146,282,40.5,1680,5,0.5,11,6.0,91,23.25,4.025,1.425,7.525,44.6,49.625,35,186,25.75,2.0725,-0.49250000000000005,1,2,2009
Kelvin Harmon,82.0,WAS,23,WR,16,8,0,0,0,1,1,100.0,11,0,0.0,0,0.0,1,11.0,11.0,11.0,11.0,0.7,112.5,0,0,0.0,11.0,11.0,0,0,2019
Ken Dorsey,55.666666666666664,CLE,25,QB,12,10,2,8,0,171,317,35.9,1712,8,1.6333333333333335,11,2.066666666666667,82,34.333333333333336,3.5666666666666664,3.0,6.666666666666667,104.73333333333335,56.300000000000004,20,129,20.566666666666666,1.9933333333333332,1.4200000000000002,0,1,2006
Kevin Byard,58.0,TEN,25,FS,16,16,0,0,0,1,1,100.0,66,1,100.0,0,0.0,1,66.0,66.0,86.0,66.0,4.1,158.3,0,0,0.0,66.0,86.0,0,0,2018
Kevin Hogan,51.5,CLE,25,QB,8,1,0,1,0,60,101,57.55,621,4,2.65,7,7.2,27,33.0,5.45,2.75,9.3,77.65,51.75,8,45,7.25,4.655,2.15,0,0,2017
Kevin Kolb,43.666666666666664,PHI,26,QB,18,7,3,4,0,194,319,58.46666666666666,2082,11,2.6333333333333333,14,6.2,97,56.666666666666664,6.066666666666666,3.8000000000000003,10.299999999999999,114.39999999999999,62.26666666666667,18,126,3.466666666666667,5.609999999999999,3.373333333333333,0,0,2010
Kevin O'Connell,71.0,NWE,23,QB,2,0,0,0,0,4,6,66.7,23,0,0.0,0,0.0,1,12.0,3.8,3.8,5.8,11.5,73.6,1,2,14.3,3.0,3.0,0,0,2008
Kirk Cousins,31.5,WAS,27,QB,30,25,11,14,0,619,950,63.175,7196,47,5.275,30,4.3,342,74.5,7.825,6.95,12.3,217.875,87.0,42,315,4.35,7.12,6.2775,3,4,2015
Kliff Kingsbury,79.0,NYJ,26,QB,1,0,0,0,0,1,2,50.0,17,0,0.0,0,0.0,0,17.0,8.5,8.5,17.0,17.0,79.2,0,0,0.0,8.5,8.5,0,0,2005
Kurt Kittner,51.0,ATL,23,QB,7,4,1,3,0,44,114,38.6,391,2,1.8,6,5.3,23,31.0,3.4,1.4,8.9,55.9,32.5,5,30,4.2,3.03,1.1,0,0,2003
Kyle Boller,34.25,BAL,25,QB,41,34,18,16,0,578,1036,56.45,6103,36,4.699999999999999,34,3.525,303,63.5,6.5,5.85,11.5,142.825,77.275,78,501,6.65,5.7,5.0975,4,5,2006
Kyle Lauletta,104.0,NYG,23,QB,2,0,0,0,0,0,5,0.0,0,0,0.0,1,20.0,0,0.0,0.0,-9.0,0.0,0.0,0.0,0,0,0.0,0.0,-9.0,0,0,2018
Kyle Orton,34.333333333333336,CHI,26,QB,33,33,21,12,0,505,913,54.63333333333333,5319,30,3.3666666666666667,27,2.8666666666666667,256,58.0,5.833333333333333,5.2,10.6,160.66666666666666,71.06666666666666,59,362,5.133333333333334,5.206666666666666,4.623333333333334,2,3,2008
Kyler Murray,16.75,ARI,25,QB,57,57,25,31,1,1316,1971,66.80000000000001,13848,84,4.25,41,2.075,676,70.75,7.0,6.9,10.45,241.64999999999998,92.375,131,963,6.199999999999999,6.0875,6.015000000000001,6,8,2022
LaBrandon Toefield,76.0,JAX,23,RB,16,0,0,0,0,1,2,50.0,32,0,0.0,0,0.0,1,32.0,16.0,16.0,32.0,2.0,95.8,0,0,0.0,16.0,16.0,0,0,2003
LaDainian Tomlinson,77.5,SDG,25,RB,31,31,0,0,0,2,3,75.0,59,1,50.0,0,0.0,2,29.5,20.0,30.0,29.5,1.9,127.05000000000001,1,1,16.65,16.665,26.665,0,0,2004
LaMont Jordan,101.5,NYJ,26,RB,32,0,0,0,0,0,2,0.0,0,0,0.0,1,50.0,0,0.0,0.0,-22.5,0.0,0.0,19.8,0,0,0.0,0.0,-22.5,0,0,2004
Lac Edwards,69.0,NYJ,25,P,16,0,0,0,0,1,1,100.0,31,0,0.0,0,0.0,1,31.0,31.0,31.0,31.0,1.9,118.7,0,0,0.0,31.0,31.0,0,0,2017
Lamar Jackson,26.5,BAL,24,QB,58,49,37,12,0,852,1329,63.275000000000006,9967,84,5.9,31,2.275,501,63.25,7.425,7.6,11.75,176.9,96.025,106,527,7.55,6.5075,6.665,6,8,2021
Landry Jones,45.0,PIT,27,QB,15,4,2,2,0,85,141,59.900000000000006,1071,7,5.1,6,4.8,46,69.5,7.9,6.75,13.25,71.55,81.8,6,51,3.95,7.26,6.154999999999999,1,2,2016
Larry Johnson,92.0,KAN,27,RB,16,16,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2006
Le'Veon Bell,83.0,PIT,24,RB,12,12,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2016
Lee Evans,86.0,BUF,25,WR,16,15,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2006
Legedu Naanee,78.0,SDG,26,WR,15,1,0,0,0,1,1,100.0,21,0,0.0,0,0.0,1,21.0,21.0,21.0,21.0,1.4,118.7,0,0,0.0,21.0,21.0,0,0,2009
Leon Washington,78.0,NYJ,25,RB,16,4,0,0,0,1,1,100.0,36,0,0.0,0,0.0,1,36.0,36.0,36.0,36.0,2.3,118.7,0,0,0.0,36.0,36.0,0,0,2007
Levi Brown,77.0,BUF,23,QB,2,0,0,0,0,4,6,66.7,48,0,0.0,2,33.3,2,16.0,8.0,-7.0,12.0,24.0,51.4,0,0,0.0,8.0,-7.0,0,0,2010
Logan Cooke,82.5,JAX,24,P,32,0,0,0,0,3,3,100.0,20,0,0.0,0,0.0,3,6.5,6.0,6.0,6.0,0.65,91.65,1,19,16.65,1.5,1.5,0,0,2019
Logan Thomas,59.0,ARI,23,TE,2,0,0,0,0,1,9,11.1,81,1,11.1,0,0.0,1,81.0,9.0,11.2,81.0,40.5,101.6,2,11,18.2,6.36,8.18,0,0,2014
Logan Woodside,98.0,TEN,25,QB,6,0,0,0,0,1,3,33.3,7,0,0.0,0,0.0,1,7.0,2.3,2.3,7.0,1.2,42.4,0,0,0.0,2.33,2.33,0,0,2020
Luke Falk,49.0,NYJ,25,QB,3,2,0,2,0,47,73,64.4,416,0,0.0,3,4.1,15,36.0,5.7,3.8,8.9,138.7,62.4,16,96,18.0,3.6,2.08,0,0,2019
Luke McCown,41.5,TAM,26,QB,10,7,1,6,0,142,237,58.3,1617,9,3.8499999999999996,10,4.65,63,59.0,6.75,5.4,11.7,161.7,72.15,27,226,10.3,5.15,3.965,1,1,2007
Lynn Bowden Jr.,76.0,MIA,23,WR,10,4,0,0,0,1,2,50.0,32,0,0.0,0,0.0,1,32.0,16.0,16.0,32.0,3.2,95.8,0,0,0.0,16.0,16.0,0,0,2020
Marc Bulger,16.5,STL,26,QB,22,22,18,4,0,474,746,63.85,5671,36,5.3,28,3.4499999999999997,280,53.0,7.85,7.4,12.3,258.6,91.45,49,390,5.9,6.9399999999999995,6.475,6,6,2003
Marcus Mariota,23.25,TEN,25,QB,56,55,27,28,0,1015,1605,63.575,12004,69,4.2749999999999995,42,2.6,569,64.25,7.475,7.175000000000001,11.825,214.825,89.675,130,830,7.775,6.4175,6.125,9,11,2018
Marion Grice,89.0,ARI,23,RB,10,0,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2014
Mark Bradley,67.0,2TM,26,WR,12,8,0,0,0,1,1,100.0,37,1,100.0,0,0.0,0,37.0,37.0,57.0,37.0,3.1,158.3,0,0,0.0,37.0,57.0,0,0,2008
Mark Clayton,83.0,BAL,26,WR,62,47,0,0,0,1,4,25.0,32,1,25.0,0,0.0,1,8.0,8.0,13.0,8.0,0.5,69.275,0,0,0.0,8.0,13.0,0,0,2008
Mark Sanchez,20.0,NYJ,26,QB,62,62,33,29,0,1028,1867,54.9,12092,68,3.6,69,3.85,602,69.75,6.5,5.5,11.825,194.475,70.85,126,818,6.375,5.6625,4.715,8,10,2012
Marqise Lee,79.5,JAX,26,WR,30,20,0,0,0,1,2,50.0,20,1,50.0,0,0.0,1,10.0,10.0,20.0,10.0,0.65,98.95,0,0,0.0,10.0,20.0,0,0,2017
Marques Hagans,84.0,KAN,26,WR,2,0,0,0,0,1,1,100.0,5,0,0.0,0,0.0,0,5.0,5.0,5.0,5.0,2.5,87.5,1,1,50.0,2.0,2.0,0,0,2008
Marques Tuiasosopo,63.5,OAK,24,QB,5,1,0,1,0,28,49,65.3,358,0,0.0,3,3.35,15,25.0,7.85,6.35,12.15,57.5,75.3,2,14,2.15,7.55,6.11,0,0,2003
Marshawn Lynch,89.0,BUF,21,RB,13,13,0,0,0,1,1,100.0,8,1,100.0,0,0.0,1,8.0,8.0,28.0,8.0,0.6,139.6,0,0,0.0,8.0,28.0,0,0,2007
Mason Rudolph,44.666666666666664,PIT,26,QB,17,10,5,4,1,236,384,60.199999999999996,2366,16,3.6666666666666665,11,2.4,109,53.0,6.166666666666667,5.8,10.299999999999999,126.60000000000001,80.16666666666667,16,132,2.433333333333333,5.823333333333333,5.476666666666667,2,1,2021
Matt Barkley,55.0,CHI,26,QB,11,6,1,5,0,159,266,40.300000000000004,1911,8,1.2333333333333334,18,4.8999999999999995,107,21.0,4.533333333333333,2.5666666666666664,7.5,110.03333333333335,50.833333333333336,9,67,2.8333333333333335,4.123333333333333,2.266666666666667,0,0,2016
Matt Cassel,51.5,NWE,26,QB,30,15,10,5,0,349,555,59.3,3946,23,3.1,13,5.15,194,35.75,6.05,4.35,10.325,83.475,70.575,51,235,9.9,5.1075,3.4175,2,2,2008
Matt Flynn,61.25,GNB,26,QB,34,2,1,1,0,82,132,56.55,1015,9,4.175,5,3.85,48,41.5,5.8,4.8999999999999995,9.45,42.575,72.8,13,62,6.65,4.9675,4.1375,1,1,2011
Matt Forte,87.0,CHI,26,RB,12,12,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2011
Matt Jones,82.0,JAX,22,WR,16,1,0,0,0,2,3,66.7,12,0,0.0,0,0.0,0,6.0,4.0,4.0,6.0,0.8,74.3,0,0,0.0,4.0,4.0,0,0,2005
Matt Leinart,41.5,ARI,26,QB,29,17,7,10,0,340,595,57.075,3893,14,2.025,20,3.525,189,51.0,6.824999999999999,5.625,12.200000000000001,115.525,70.175,29,212,4.425,6.1575,5.03,2,2,2009
Matt Mauck,63.0,TEN,26,QB,2,1,0,1,0,15,27,55.6,136,0,0.0,1,3.7,4,17.0,5.0,3.4,9.1,68.0,53.9,1,8,3.6,4.57,2.96,0,0,2005
Matt Ryan,12.75,ATL,26,QB,62,62,43,19,0,1232,2022,60.8,14238,95,4.65,46,2.325,719,71.5,7.075,6.95,11.625,229.0,87.95,85,527,4.025,6.535,6.4175,11,16,2011
Matt Schaub,44.5,HOU,26,QB,49,13,4,9,0,276,450,57.95,3274,15,3.625,15,4.05,144,59.0,6.975,5.875,12.075,75.65,74.625,28,175,6.525,6.1975,5.155,1,1,2007
Matthew Stafford,18.75,DET,24,QB,45,45,17,28,0,1114,1863,59.0,12807,80,4.675,54,2.75,649,60.25,6.5,6.175,11.025,257.575,82.325,93,674,4.75,5.8375,5.5425,8,9,2012
Mewelde Moore,93.0,MIN,25,RB,38,3,0,0,0,1,3,33.333333333333336,15,1,33.333333333333336,0,0.0,1,5.0,5.0,11.666666666666666,5.0,0.3,79.16666666666667,0,0,0.0,5.0,11.666666666666666,0,0,2007
Michael Bush,84.0,OAK,25,RB,31,7,0,0,0,1,3,25.0,8,0,0.0,0,0.0,1,4.0,2.0,2.0,4.0,0.25,50.0,0,0,0.0,2.0,2.0,0,0,2009
Michael Robinson,96.0,SFO,23,WR,16,0,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2006
Michael Vick,31.5,ATL,24,QB,43,36,23,12,1,512,955,51.375,6619,36,3.5,26,2.825,308,59.25,6.75,6.175,13.225,141.25,72.85,109,649,10.95,5.345,4.8475,6,6,2004
Mike Gesicki,105.0,MIA,26,TE,17,9,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2021
Mike Glennon,40.0,TAM,27,QB,21,18,5,13,0,374,630,69.3,4100,30,6.2,15,1.7333333333333334,198,46.333333333333336,6.7,7.133333333333333,10.066666666666666,158.1,97.53333333333335,56,405,5.366666666666667,5.966666666666666,6.453333333333333,3,3,2016
