,Player,Rk,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year
59,Andy Isabella,347.0,2TM,26,0,41,3,54,33,67.3,447,13.8,3,17,41.5,9.53,0.68,8.9,1,2022
60,Andy Janovich,341.25,DEN,26,RB,50,19,28,22,79.53,233,10.0,1,12,20.75,7.92,0.5,4.8,0,2019
61,Anquan Boldin,15.0,ARI,26,WR,56,55,592,342,57.3,4605,13.22,20,220,55.0,7.6,6.1,80.92,7,2006
62,Anthony Allen,379.0,BAL,24,RB,16,0,4,2,50.0,12,6.0,0,1,7.0,3.0,0.1,0.8,0,2012
63,Anthony Becht,126.25,NYJ,26,TE,62,56,185,120,63.45,1064,8.88,16,73,26.0,5.62,1.93,16.98,2,2003
64,Anthony Castonzo,416.0,IND,26,LT,16,16,1,1,100.0,1,1.0,1,1,1.0,1.0,0.1,0.1,0,2014
65,Anthony Dixon,367.33,SFO,26,RB,48,1,9,9,100.0,47,6.07,0,2,11.0,6.07,0.2,1.0,0,2013
66,Anthony Fasano,173.25,MIA,25,TE,62,40,151,93,61.92,1062,10.88,10,58,24.75,6.78,1.52,17.35,2,2009
67,Anthony Gonzalez,159.33,IND,26,WR,31,11,139,99,66.77,1307,13.53,7,66,49.67,9.03,2.97,39.77,0,2010
68,Anthony Hill,395.5,IND,26,TE,12,2,5,3,58.35,19,7.0,0,0,7.0,3.9,0.25,1.6,0,2011
69,Anthony McCoy,222.0,SEA,25,TE,32,14,52,31,59.25,437,13.7,3,20,49.0,8.25,0.95,13.65,0,2012
70,Anthony McFarland Jr.,422.33,PIT,23,RB,14,0,12,9,88.9,76,8.5,0,3,13.33,7.5,1.0,7.13,0,2022
71,Anthony Miller,153.5,2TM,27,WR,50,18,227,140,59.2,1589,9.88,12,81,33.5,6.0,2.65,26.95,4,2021
72,Anthony Sherman,276.0,KAN,26,RB,60,25,55,41,74.45,337,8.12,2,16,22.0,6.12,0.65,5.47,1,2014
73,Anthony Thomas,195.75,CHI,27,RB,51,37,108,72,67.5,509,6.67,0,19,20.25,4.55,1.43,10.03,7,2004
74,Antonio Brown,70.0,PIT,25,WR,54,27,416,261,67.0,3561,13.0,15,181,55.25,8.53,4.53,60.52,6,2013
75,Antonio Bryant,61.0,CLE,24,WR,63,43,398,210,52.25,3104,14.85,16,103,60.25,7.72,3.35,49.35,5,2005
76,Antonio Callaway,267.0,MIA,23,WR,25,14,98,53,52.57,695,11.57,5,31,41.67,6.1,1.7,20.97,1,2020
77,Antonio Gandy-Golden,454.0,WAS,22,WR,6,2,7,1,14.3,3,3.0,0,0,3.0,0.4,0.2,0.5,0,2020
78,Antonio Gibson,103.33,WAS,24,RB,45,30,154,124,80.63,894,7.2,5,38,46.33,5.8,2.77,19.83,8,2022
79,Antonio Pittman,277.0,STL,23,FB,23,5,36,21,50.0,147,6.15,0,5,19.0,3.3,0.9,6.2,1,2008
80,Antrel Rolle,431.0,ARI,26,FS,16,16,1,1,100.0,9,9.0,0,1,9.0,9.0,0.1,0.6,0,2008
81,Antwaan Randle El,89.25,PIT,26,WR,64,23,253,162,64.35,2012,12.53,7,95,42.5,7.9,2.52,31.48,18,2005
82,ArDarius Stewart,334.0,NYJ,24,WR,15,2,13,6,46.2,82,13.7,0,2,46.0,6.3,0.4,5.5,0,2017
83,Armanti Edwards,397.33,2TM,25,QB,25,0,16,6,25.2,131,11.4,0,3,30.67,5.13,0.17,3.1,1,2013
84,Arnaz Battle,219.25,SFO,26,WR,48,23,155,99,45.5,1192,10.2,6,60,40.0,6.08,1.88,22.35,5,2006
85,Arrelious Benn,211.0,TAM,24,WR,37,24,95,59,63.77,862,12.33,5,32,46.0,7.77,1.43,20.37,2,2012
86,Artose Pinner,279.0,MIN,28,RB,40,7,47,39,76.35,308,7.65,0,10,19.75,5.8,1.1,8.47,1,2006
87,Ashley Lelie,85.5,DEN,25,WR,64,40,323,168,53.23,3007,17.6,12,118,55.5,9.3,2.62,47.0,0,2005
88,Auden Tate,287.0,CIN,24,WR,35,12,118,61,55.48,799,11.72,2,43,21.25,6.68,1.48,18.8,1,2021
89,Aundrae Allison,265.0,MIN,22,WR,26,0,40,18,44.85,231,13.1,0,13,28.0,5.8,0.7,9.2,4,2008
90,Austin Collie,139.5,IND,27,WR,42,16,257,173,76.35,1845,9.5,16,104,36.25,7.03,3.65,38.12,1,2012
91,Austin Hooper,84.0,ATL,25,TE,59,28,277,214,75.95,2244,11.2,16,105,50.75,8.43,3.67,38.52,0,2019
92,Austin Pettis,163.5,2TM,26,WR,51,11,176,107,62.42,1034,9.62,9,55,32.25,5.97,2.02,19.48,3,2014
93,Austin Seferian-Jenkins,180.25,NYJ,25,TE,38,24,171,105,60.42,1070,11.38,10,48,32.75,6.75,2.62,29.38,2,2017
94,Avion Black,281.5,HOU,25,WR,25,0,26,14,53.55,142,10.0,0,7,19.5,5.35,0.55,5.55,2,2002
95,B.J. Askew,337.0,NYJ,26,FB,39,6,15,12,91.67,73,7.53,0,6,11.33,7.07,0.3,1.9,0,2006
96,B.J. Daniels,397.0,2TM,27,QB,8,0,2,2,100.0,18,9.0,0,0,12.0,9.0,0.3,2.3,0,2015
97,Baker Mayfield,492.5,CLE,25,QB,30,29,2,1,50.0,6,3.0,0,1,3.0,3.0,0.05,0.2,15,2020
98,Baron Batch,338.0,PIT,25,RB,12,0,5,4,80.0,31,7.8,0,3,15.0,6.2,0.3,2.6,0,2012
99,Beanie Wells,329.25,ARI,24,RB,51,23,41,28,75.0,293,13.97,0,10,25.5,11.38,0.5,5.33,10,2012
100,Bear Pascoe,325.0,NYG,26,TE,50,26,39,26,72.15,252,9.28,1,14,14.75,6.72,0.5,4.47,0,2012
101,Ben Hartsock,313.25,TEN,27,TE,45,15,44,24,63.3,247,8.78,0,13,18.5,4.97,0.6,5.78,0,2007
102,Ben Koyack,273.0,JAX,24,TE,30,10,31,24,75.3,199,8.05,1,10,19.0,6.05,0.85,6.95,0,2017
103,Ben Obomanu,298.5,SEA,26,WR,27,0,34,16,60.7,221,12.65,1,13,21.0,7.2,0.6,8.35,1,2009
104,Ben Patrick,254.25,ARI,26,TE,42,20,64,45,69.42,446,10.07,4,24,22.25,6.95,1.07,10.97,1,2010
105,Ben Tate,212.0,HOU,25,RB,40,9,79,58,79.27,287,5.37,0,8,11.67,4.2,1.43,7.0,10,2013
106,Ben Troupe,182.5,TEN,25,TE,55,29,172,106,57.58,1056,10.12,7,54,28.25,5.78,1.93,19.18,4,2007
107,Ben Watson,175.5,NWE,27,TE,41,31,198,116,57.75,1489,11.78,13,76,31.0,6.8,2.67,31.82,5,2007
108,Benny Snell Jr.,394.0,PIT,24,RB,63,5,24,17,74.1,114,7.2,0,6,11.5,5.5,0.25,1.85,3,2022
109,Bernard Berrian,129.5,CHI,27,WR,58,32,299,150,47.9,2197,15.62,13,96,56.0,7.47,2.48,36.9,4,2007
110,Bernard Pierce,322.75,JAX,24,RB,52,3,47,32,59.23,171,5.17,0,7,9.75,3.02,0.57,2.85,1,2015
111,Bernard Scott,277.0,CIN,27,RB,45,3,38,29,74.53,165,7.27,0,7,20.67,5.07,0.63,3.8,2,2011
112,Bethel Johnson,259.0,MIN,27,WR,50,9,80,39,52.2,606,16.15,4,27,47.0,8.45,0.78,11.9,4,2006
113,Bilal Powell,258.0,NYJ,26,RB,47,14,109,65,70.92,511,7.8,0,29,19.75,5.45,1.18,9.15,2,2014
114,Bill Baber,375.0,TAM,25,TE,29,2,5,4,88.9,37,10.67,1,2,11.33,10.1,0.43,3.03,0,2004
115,Billy Bajema,380.25,SFO,26,TE,61,25,16,7,25.0,88,6.95,0,3,13.25,3.48,0.1,1.43,0,2008
116,Billy McMullen,279.25,MIN,26,WR,45,0,100,45,38.27,601,9.55,3,28,23.75,4.12,0.78,9.85,1,2006
117,Bishop Sankey,231.0,TEN,23,RB,29,12,45,32,70.95,272,8.65,1,13,24.0,6.05,1.1,9.5,4,2015
118,Blake Bell,318.75,JAX,27,TE,50,12,49,30,63.03,357,12.1,0,11,30.25,6.92,0.6,7.0,0,2018
119,Blake Bortles,425.0,JAX,24,QB,16,16,1,1,100.0,20,20.0,1,1,20.0,20.0,0.1,1.3,8,2016
120,Bo Scaife,87.0,TEN,27,TE,62,39,274,170,61.48,1625,9.78,7,90,30.75,5.9,2.73,26.23,4,2008
121,Bo Scarbrough,474.0,DET,25,RB,6,5,4,1,25.0,5,5.0,0,0,5.0,1.3,0.2,0.8,1,2019
122,Bobby Wade,162.5,TEN,25,WR,58,18,194,101,54.77,1199,11.38,2,52,26.5,6.25,1.68,19.73,15,2006
123,Boomer Grigsby,377.0,KAN,26,LB,13,1,3,2,66.7,14,7.0,0,0,9.0,4.7,0.2,1.1,0,2007
124,Boston Scott,209.33,PHI,26,RB,43,10,78,62,81.0,499,7.8,1,21,25.33,6.3,1.53,12.33,7,2021
125,Brad Butler,439.0,BUF,24,RG,16,16,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2007
126,Brad Cottam,274.0,KAN,25,TE,24,8,26,16,61.8,183,11.15,0,9,22.5,6.85,0.75,9.45,0,2009
127,Brad Smelley,454.0,CLE,23,TE,2,0,1,1,100.0,3,3.0,0,0,3.0,3.0,0.5,1.5,0,2012
128,Brad Smith,233.5,NYJ,26,WR,60,15,114,60,56.52,513,7.83,2,25,21.25,4.38,0.97,8.3,4,2009
129,Brad St. Louis,427.0,CIN,25,LS,11,0,3,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2001
130,Bradie Ewing,385.0,ATL,24,RB,2,2,2,2,100.0,29,14.5,0,2,15.0,14.5,1.0,14.5,0,2013
131,Brady Quinn,427.0,CLE,25,QB,10,9,1,1,100.0,18,18.0,0,1,18.0,18.0,0.1,1.8,4,2009
132,Brandin Cooks,34.5,NWE,24,WR,58,46,429,280,66.4,3943,13.88,27,158,70.75,9.07,4.9,66.75,3,2017
133,Brandon Aiyuk,42.33,SFO,24,WR,46,44,294,194,65.87,2589,13.43,18,133,48.67,8.83,4.3,56.87,3,2022
134,Brandon Gibson,90.75,STL,25,WR,55,38,313,174,55.1,2090,11.85,9,103,33.0,6.58,3.2,37.75,2,2012
135,Brandon Jackson,155.25,GNB,25,RB,52,16,137,110,79.1,844,7.8,2,41,22.0,6.15,2.08,15.75,3,2010
136,Brandon Jacobs,239.0,NYG,26,RB,39,22,64,40,63.03,359,9.03,2,10,28.67,6.07,1.1,9.5,10,2008
137,Brandon Jones,141.75,TEN,26,WR,51,27,196,112,56.92,1380,12.5,9,76,41.5,7.03,2.23,27.4,1,2008
138,Brandon LaFell,101.25,CAR,27,WR,60,36,294,167,57.3,2385,14.38,13,110,69.0,8.32,2.8,39.83,2,2013
139,Brandon Lloyd,126.0,WAS,25,WR,60,41,285,128,44.85,1875,14.85,13,85,59.25,6.62,2.17,31.73,2,2006
140,Brandon Manumaleuna,256.25,STL,24,TE,64,41,81,53,73.22,519,8.53,5,22,28.75,5.55,0.83,8.12,0,2004
141,Brandon Marshall,33.0,NYJ,31,WR,122,106,1177,715,60.02,9045,12.9,70,467,59.62,7.72,5.81,73.38,14,2015
142,Brandon Miree,264.0,GNB,25,RB,10,3,13,9,69.2,57,6.3,0,3,20.0,4.4,0.9,5.7,0,2006
143,Brandon Myers,207.0,OAK,27,TE,58,28,154,111,69.05,1056,7.78,4,55,18.75,5.38,1.77,16.7,1,2012
144,Brandon Pettigrew,54.0,DET,27,TE,57,54,393,243,60.83,2412,10.18,14,124,29.0,6.17,4.12,41.42,5,2012
145,Brandon Tate,290.67,CIN,25,WR,34,14,73,37,34.73,643,11.4,4,20,36.33,5.93,0.77,13.4,5,2012
146,Brandon Weeden,505.0,CLE,29,QB,15,15,1,0,0.0,-9,0.0,0,0,-9.0,-9.0,0.0,-0.6,6,2012
147,Brandon Williams,382.8,IND,30,WR,70,12,32,21,51.98,237,11.26,0,12,17.6,7.32,0.28,3.26,2,2017
148,Braxton Berrios,175.0,NYJ,26,WR,48,3,133,89,61.43,940,13.07,5,43,52.67,7.53,1.87,19.57,2,2021
149,Braxton Miller,220.5,HOU,25,WR,21,9,57,34,59.55,261,7.55,2,14,34.5,4.55,1.6,12.3,0,2017
150,Braylon Edwards,57.75,CLE,25,WR,58,54,476,228,48.7,3558,15.62,28,158,75.75,7.62,3.85,60.42,3,2008
151,Brent Celek,119.5,PHI,25,TE,64,41,251,161,66.22,1978,11.97,14,88,46.25,7.92,2.52,30.9,0,2010
152,Breshad Perriman,216.67,CLE,25,WR,37,6,126,59,47.53,916,14.7,5,35,44.33,7.8,1.53,24.07,0,2018
153,Brett Hundley,439.0,GNB,24,QB,11,9,1,1,100.0,10,10.0,0,1,10.0,10.0,0.1,0.9,4,2017
154,Brett Swain,391.0,SFO,26,WR,27,2,17,8,31.77,87,6.5,0,4,13.33,3.37,0.27,2.5,0,2011
155,Brian Calhoun,339.0,DET,23,RB,11,0,7,7,100.0,55,8.5,0,2,14.5,8.5,0.8,5.85,1,2007
156,Brian Hartline,91.75,MIA,26,WR,60,38,326,183,55.95,2753,15.22,6,132,60.5,8.5,3.08,46.23,2,2012
157,Brian Hill,329.25,ATL,25,RB,45,3,48,38,76.17,313,10.47,1,11,20.25,8.5,0.7,6.05,3,2020
158,Brian Leonard,154.0,CIN,26,RB,41,8,100,80,79.83,537,6.73,1,30,18.0,5.4,1.93,13.13,1,2010
159,Brian Mihalik,445.0,DET,25,DE,15,2,1,1,100.0,-4,-4.0,0,0,-4.0,-4.0,0.1,-0.3,0,2017
160,Brian Quick,231.25,STL,26,WR,51,15,133,64,46.88,935,14.05,7,46,50.0,6.8,1.55,22.68,0,2015
161,Brian Robiskie,290.0,DET,25,WR,37,14,84,43,48.55,485,11.28,4,23,31.0,5.42,0.97,10.8,0,2012
162,Brian Schwenke,445.0,TEN,23,C,11,11,1,1,100.0,6,6.0,0,0,6.0,6.0,0.1,0.5,1,2014
163,Brian Urlacher,402.0,CHI,23,MLB,16,16,1,1,100.0,27,27.0,1,1,27.0,27.0,0.1,1.7,0,2001
164,Brian Westbrook,112.75,PHI,26,RB,55,35,244,180,73.42,1737,9.57,14,78,42.5,7.0,3.45,33.3,6,2005
165,Brice Butler,235.0,DAL,26,WR,48,7,110,58,52.27,860,14.97,5,39,48.0,7.7,1.25,19.9,0,2016
166,Brock Forsey,342.0,CHI,23,RB,9,2,5,3,60.0,37,12.3,0,3,22.0,7.4,0.3,4.1,0,2003
167,Brody Eldridge,302.0,IND,24,TE,27,16,19,14,72.8,84,6.4,0,3,9.0,4.4,0.55,3.15,0,2011
168,Bruce Ellington,238.0,HOU,26,WR,37,6,88,48,56.43,545,11.17,4,24,33.0,6.37,1.37,15.53,5,2017
169,Bruce Miller,222.75,SFO,27,RB,61,42,89,66,76.75,599,8.68,3,31,30.25,6.6,1.1,10.0,3,2014
170,Bruce Perry,452.0,PHI,24,RB,2,1,2,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2005
171,Bryan Edwards,268.67,ATL,24,WR,35,16,79,48,63.63,779,13.1,4,37,31.67,8.53,1.13,17.97,1,2022
172,Bryan Fletcher,195.0,IND,26,TE,16,12,27,18,66.7,202,11.2,3,11,23.0,7.5,1.1,12.6,0,2005
173,Bryant Johnson,84.25,ARI,25,WR,61,31,325,164,50.8,2147,13.2,7,104,48.25,6.75,2.7,35.0,3,2006
174,Bryce Brown,301.25,SEA,24,RB,42,7,59,37,48.48,316,6.45,0,13,21.5,4.1,0.9,8.48,5,2015
175,Brycen Hopkins,402.5,LAR,25,TE,19,1,12,8,81.8,118,12.3,0,9,15.5,9.45,0.35,4.8,0,2022
176,Bubba Franks,94.75,GNB,25,TE,64,57,219,154,69.9,1368,8.95,21,79,25.5,6.22,2.42,21.38,1,2003
177,Byron Leftwich,422.0,JAX,24,QB,14,14,1,1,100.0,-7,-7.0,0,0,-7.0,-7.0,0.1,-0.5,5,2004
178,C.J. Fiedorowicz,223.75,HOU,26,TE,51,42,142,89,63.05,881,9.07,6,46,18.75,5.78,1.95,18.75,2,2017
179,C.J. Prosise,305.75,SEA,25,RB,25,2,45,36,81.83,393,10.4,0,14,29.5,8.1,1.42,16.23,1,2019
180,C.J. Spiller,126.0,BUF,26,RB,61,31,182,139,77.03,1070,7.42,5,50,38.25,5.7,2.25,17.25,14,2013
181,C.J. Uzomah,250.75,CIN,25,TE,45,27,118,79,74.92,769,8.2,5,43,27.0,5.8,1.52,14.55,0,2018
182,Cadillac Williams,242.0,TAM,26,RB,38,33,81,60,77.05,337,5.6,0,10,17.25,4.3,1.38,7.83,9,2008
183,Calvin Johnson,35.0,DET,25,WR,60,55,517,270,52.17,4191,15.53,33,190,76.75,8.1,4.5,69.65,8,2010
184,Calvin Ridley,64.75,ATL,27,WR,49,35,380,248,64.95,3342,12.72,28,167,49.0,8.3,5.25,66.42,3,2021
185,Cam Akers,308.0,LAR,23,RB,29,14,35,27,83.6,250,7.83,1,16,20.67,6.2,1.57,9.1,3,2022
186,Cam Newton,462.5,CAR,23,QB,32,32,2,1,50.0,33,13.5,0,1,16.5,16.5,0.05,1.05,15,2012
187,Cameron Artis-Payne,395.25,CAR,28,RB,32,3,11,10,93.75,86,7.4,0,6,11.5,7.1,0.35,3.48,0,2018
188,Cameron Erving,464.0,KAN,25,T,13,4,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2017
189,Cameron Morrah,333.0,SEA,24,TE,27,7,32,16,65.4,194,9.43,0,9,20.0,5.07,0.53,5.67,0,2011
190,Carlos Hyde,183.75,SFO,27,RB,50,36,152,109,74.28,634,5.6,3,33,16.0,4.17,2.08,11.72,9,2017
191,Carlton Mitchell,407.5,CLE,23,WR,16,0,5,3,37.5,31,5.15,0,2,9.5,3.9,0.15,1.4,0,2011
192,Carson Wentz,478.0,PHI,26,QB,27,27,2,2,100.0,11,5.5,0,1,5.5,5.5,0.1,0.4,23,2018
193,Cary Williams,434.0,BAL,26,DB,13,0,1,1,100.0,13,13.0,0,1,13.0,13.0,0.1,1.0,0,2010
194,Casey Cramer,398.0,TEN,25,RB/TE,20,1,3,2,50.0,8,2.0,0,1,3.0,2.0,0.05,0.25,0,2007
195,Cecil Shorts,140.0,JAX,27,WR,50,34,350,176,42.75,2343,13.78,12,107,54.25,5.8,3.33,43.88,2,2014
196,Cedric Benson,260.25,CIN,26,RB,47,22,64,46,79.97,365,6.58,0,14,30.75,5.03,0.95,7.62,6,2008
197,Cedric Griffin,445.0,MIN,25,RCB,16,16,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,2007
198,Cedric Houston,282.0,NYJ,24,RB,20,5,18,15,83.75,109,7.2,0,3,13.5,6.0,0.8,5.45,1,2006
199,Cedric James,378.0,MIN,23,WR,5,0,2,1,50.0,29,29.0,0,1,29.0,14.5,0.2,5.8,0,2002
200,Cedric Peerman,392.33,CIN,26,RB,36,1,13,10,44.43,96,6.8,0,7,9.0,4.37,0.23,2.57,0,2012
201,Cedrick Wilson,134.33,SFO,26,WR,47,19,170,97,59.7,1203,12.0,6,70,30.0,7.1,2.07,25.97,1,2004
202,Cedrick Wilson Jr.,225.0,DAL,26,WR,38,4,97,67,65.67,837,11.23,8,41,43.0,7.5,1.57,19.03,3,2021
203,CeeDee Lamb,18.33,DAL,23,WR,49,44,387,260,67.03,3396,13.07,20,168,46.67,8.77,5.27,69.07,2,2022
204,Chad Hansen,255.5,HOU,25,WR,20,3,41,26,61.85,330,12.15,1,18,31.0,7.65,2.0,26.75,0,2020
205,Chad Jackson,326.0,DEN,23,WR,16,1,20,14,84.2,171,15.35,3,7,27.0,13.5,0.7,8.75,1,2008
