Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk
4,104,IND,Nyheim Hines,RB,21,2022,0,0,0,81,0,0,0,0,0,306,1202,10,240,1778,8,3,,
4,105,CLE,Antonio Callaway,WR,21,2020,0,0,1,25,0,0,0,0,0,2,7,0,53,695,5,,,
4,106,DEN,Josey Jewell,ILB,23,2022,0,0,2,62,0,0,0,0,0,0,0,0,0,0,0,203,2,6
4,107,NYJ,Chris Herndon,TE,22,2021,0,0,2,49,0,0,0,0,0,0,0,0,75,836,8,,,
4,108,NYG,Kyle Lauletta,QB,23,2018,0,0,0,2,0,5,0,0,1,1,-2,0,0,0,0,,,
4,109,WAS,Troy Apke,S,23,2022,0,0,1,52,0,0,0,0,0,0,0,0,0,0,0,49,1,
4,110,OAK,Nick Nelson,CB,21,2019,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,10,,
4,111,LAR,Brian Allen,C,22,2022,0,0,2,45,0,0,0,0,0,0,0,0,0,0,0,,,
4,112,CIN,Mark Walton,RB,21,2019,0,0,0,21,0,0,0,0,0,67,235,0,20,130,0,4,,
4,113,DEN,DaeSean Hamilton,WR,23,2020,0,0,0,46,0,0,0,0,0,0,0,0,81,833,5,,,
4,114,DET,Da'Shawn Hand,DE,22,2022,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,39,,3
4,115,CHI,Joel Iyiegbuniwe,LB,22,2022,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,26,,
4,116,DAL,Dorance Armstrong Jr.,DE,21,2022,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,81,,16
4,117,TAM,Jordan Whitehead,S,21,2022,0,0,4,76,0,0,0,0,0,0,0,0,0,0,0,280,7,2
4,118,BAL,Anthony Averett,CB,23,2022,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,99,3,
4,119,LAC,Kyzir White,S,22,2022,0,0,2,64,0,0,0,0,0,0,0,0,0,0,0,243,4,3
4,120,SEA,Will Dissly,TE,22,2022,0,0,2,56,0,0,0,0,0,1,7,0,110,1249,12,6,,
4,121,BUF,Taron Johnson,CB,22,2022,0,0,3,71,0,0,0,0,0,0,0,0,0,0,0,263,4,6
